Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左股関節[x](cm),左股関節[y](cm),左股関節[z](cm),右股関節[x](cm),右股関節[y](cm),右股関節[z](cm),左膝関節[x](cm),左膝関節[y](cm),左膝関節[z](cm),右膝関節[x](cm),右膝関節[y](cm),右膝関節[z](cm),左足関節[x](cm),左足関節[y](cm),左足関節[z](cm),右足関節[x](cm),右足関節[y](cm),右足関節[z](cm),左第5MP[x](cm),左第5MP[y](cm),左第5MP[z](cm),右第5MP[x](cm),右第5MP[y](cm),右第5MP[z](cm),,SD_重心_LC[x](cm),SD_重心_LC[y](cm),SD_重心_LC[z](cm),SD_重心_RC[x](cm),SD_重心_RC[y](cm),SD_重心_RC[z](cm),SD_左肩峰[x](cm),SD_左肩峰[y](cm),SD_左肩峰[z](cm),SD_右肩峰[x](cm),SD_右肩峰[y](cm),SD_右肩峰[z](cm),SD_左股関節[x](cm),SD_左股関節[y](cm),SD_左股関節[z](cm),SD_右股関節[x](cm),SD_右股関節[y](cm),SD_右股関節[z](cm),SD_左膝関節[x](cm),SD_左膝関節[y](cm),SD_左膝関節[z](cm),SD_右膝関節[x](cm),SD_右膝関節[y](cm),SD_右膝関節[z](cm),SD_左足関節[x](cm),SD_左足関節[y](cm),SD_左足関節[z](cm),SD_右足関節[x](cm),SD_右足関節[y](cm),SD_右足関節[z](cm),SD_左第5MP[x](cm),SD_左第5MP[y](cm),SD_左第5MP[z](cm),SD_右第5MP[x](cm),SD_右第5MP[y](cm),SD_右第5MP[z](cm)
0.000000,2.938436,1.781441,90.772194,-0.527012,-0.320183,91.607086,-16.486572,16.013882,128.253250,18.581715,11.531651,127.304352,-15.124983,-10.321732,83.925987,19.131910,-13.688145,86.608276,-13.978556,5.254208,48.178051,16.461243,-2.477833,48.565125,-13.550154,-6.495281,8.770027,12.769915,3.772594,9.924597,-17.058142,5.551228,3.642450,12.894568,15.513737,2.455634,,0.437456,0.645273,0.242812,0.635689,0.654477,0.298206,0.677341,0.596321,0.388718,0.823564,1.227991,0.666787,0.668100,0.731100,0.281610,0.679106,0.877079,0.236090,0.314097,0.873594,0.443537,0.586566,1.045202,0.281826,0.254083,1.181159,0.214169,0.556799,1.220276,0.337028,0.184115,1.252584,0.408896,0.594892,1.244217,0.264395
0.500000,2.824935,1.720760,90.772034,-0.370133,-0.242008,91.521370,-16.621286,16.016773,128.237411,18.778292,11.754498,127.112656,-15.298237,-10.346081,83.908684,19.304474,-13.656635,86.539932,-13.948626,5.012501,48.074966,16.560202,-2.565525,48.484074,-13.495705,-6.385899,8.625610,12.776932,3.689022,9.879839,-16.941605,5.569843,3.342415,12.902145,15.431110,2.449890,,0.434852,0.629572,0.239897,0.647039,0.647875,0.283912,0.648884,0.572830,0.388352,0.823445,1.219242,0.654857,0.631552,0.700594,0.276838,0.709347,0.864277,0.237713,0.319060,0.863607,0.423852,0.607013,1.051786,0.256545,0.245396,1.163642,0.182037,0.534239,1.225549,0.314443,0.168999,1.235051,0.356745,0.576798,1.242302,0.230388
1.000000,2.710954,1.659763,90.772438,-0.212212,-0.164352,91.436485,-16.757429,16.019764,128.221008,18.976406,11.976818,126.921188,-15.472166,-10.371555,83.893120,19.477432,-13.627697,86.474403,-13.919377,4.772587,47.974567,16.659410,-2.656849,48.404015,-13.441258,-6.281502,8.486300,12.783337,3.603237,9.834606,-16.827908,5.582920,3.048248,12.911955,15.347218,2.445106,,0.432802,0.614366,0.237162,0.658795,0.642409,0.271103,0.620539,0.552981,0.388980,0.824610,1.212282,0.644253,0.597776,0.671585,0.275502,0.741254,0.855277,0.253580,0.340400,0.855258,0.406825,0.627886,1.066613,0.236174,0.246248,1.149974,0.160017,0.512792,1.232833,0.292675,0.164310,1.221746,0.310835,0.565668,1.241006,0.206569
1.500000,2.593359,1.596199,90.780548,-0.046512,-0.091282,91.359375,-16.909056,16.022228,128.200546,19.187922,12.197971,126.730446,-15.642349,-10.413624,83.903282,19.650311,-13.625900,86.435966,-13.917727,4.560253,47.918346,16.763468,-2.790310,48.335087,-13.387244,-6.233555,8.405180,12.800075,3.497692,9.797156,-16.739723,5.540882,2.827024,12.939878,15.250446,2.452660,,0.426105,0.600429,0.233670,0.666573,0.638777,0.259302,0.567132,0.539407,0.387994,0.823477,1.204811,0.631063,0.559255,0.650604,0.272658,0.769520,0.843260,0.278797,0.360314,0.833477,0.391676,0.614793,1.078873,0.220960,0.243273,1.142415,0.146422,0.463470,1.238663,0.255531,0.150809,1.210782,0.264366,0.547589,1.240323,0.174061
2.000000,2.475533,1.532223,90.790001,0.121540,-0.019146,91.283600,-17.061314,16.023785,128.180008,19.402414,12.417828,126.540459,-15.812699,-10.457417,83.917618,19.824289,-13.628353,86.401726,-13.920459,4.352146,47.867645,16.869349,-2.928234,48.267330,-13.333145,-6.194244,8.330984,12.815836,3.389378,9.759259,-16.657566,5.492565,2.618722,12.970352,15.151928,2.461084,,0.420777,0.586967,0.230478,0.673671,0.637217,0.249394,0.514031,0.530261,0.388129,0.824160,1.199761,0.619846,0.529380,0.631021,0.270469,0.797825,0.834764,0.310100,0.384145,0.813273,0.379577,0.599146,1.099551,0.210328,0.248443,1.139417,0.139442,0.419315,1.245919,0.221229,0.140799,1.203173,0.221433,0.533672,1.240229,0.153705
2.500000,2.355662,1.465694,90.808037,0.296636,0.047668,91.213806,-17.220379,16.019642,128.160995,19.628300,12.632671,126.352661,-15.973714,-10.515202,83.957779,19.993923,-13.656536,86.386421,-13.959300,4.168324,47.854141,16.982590,-3.092628,48.207710,-13.278951,-6.206589,8.294619,12.831487,3.270214,9.726509,-16.608500,5.413380,2.489233,12.999655,15.045193,2.468314,,0.413515,0.575265,0.228138,0.675498,0.638686,0.243049,0.456421,0.528230,0.387313,0.827088,1.195695,0.610229,0.511274,0.619429,0.265497,0.818360,0.821480,0.339096,0.389273,0.790760,0.373007,0.561237,1.109650,0.201374,0.247477,1.138418,0.132890,0.376230,1.251881,0.185242,0.130772,1.192805,0.190048,0.517953,1.242148,0.137713
3.000000,2.235917,1.398602,90.828178,0.474397,0.113430,91.145554,-17.378441,16.012691,128.143814,19.857470,12.845592,126.166107,-16.133820,-10.575089,84.003967,20.163776,-13.689579,86.374580,-14.007339,3.988285,47.847351,17.100006,-3.259819,48.149494,-13.225513,-6.229794,8.263759,12.848233,3.148968,9.695742,-16.568293,5.329609,2.377011,13.029371,14.936970,2.475464,,0.408066,0.564097,0.226130,0.675288,0.642948,0.239323,0.405706,0.530619,0.387363,0.832358,1.193518,0.603566,0.507188,0.608640,0.258574,0.834531,0.812583,0.368747,0.392697,0.769320,0.367301,0.521054,1.123798,0.196087,0.252101,1.140971,0.127203,0.350100,1.258781,0.162993,0.129971,1.183994,0.158925,0.506627,1.244402,0.131079
3.500000,2.113459,1.328300,90.857208,0.655795,0.174603,91.080956,-17.534403,15.997501,128.135162,20.093937,13.050701,125.981453,-16.289742,-10.645744,84.070679,20.322556,-13.742504,86.371140,-14.088077,3.815540,47.861790,17.224628,-3.434647,48.097687,-13.178486,-6.293930,8.249030,12.858412,3.024586,9.668271,-16.562243,5.233654,2.328472,13.045571,14.824207,2.472668,,0.402411,0.554503,0.225734,0.669532,0.649285,0.239789,0.374662,0.538047,0.387935,0.842295,1.191344,0.600968,0.515190,0.601610,0.250251,0.840534,0.796025,0.390782,0.375769,0.754450,0.365205,0.477602,1.120364,0.190547,0.248516,1.141333,0.114132,0.337700,1.264677,0.151634,0.143195,1.171775,0.136705,0.498905,1.248057,0.128429
4.000000,1.990923,1.257076,90.888855,0.838434,0.235241,91.017509,-17.688269,15.977421,128.131439,20.333654,13.253185,125.797707,-16.444201,-10.718967,84.142822,20.478464,-13.798473,86.367599,-14.180860,3.641460,47.880962,17.353321,-3.607471,48.047840,-13.135182,-6.367966,8.235538,12.873096,2.900120,9.646742,-16.565250,5.136692,2.295013,13.058660,14.710934,2.468529,,0.398130,0.545505,0.225591,0.661053,0.657883,0.242929,0.360878,0.549163,0.388881,0.852683,1.188562,0.601603,0.531239,0.594056,0.240632,0.837800,0.785020,0.409993,0.356172,0.740539,0.361541,0.436455,1.114959,0.187946,0.247747,1.143342,0.102478,0.341013,1.271004,0.156223,0.166190,1.159709,0.114326,0.497086,1.251833,0.125233
4.500000,1.863653,1.181995,90.929291,1.020899,0.293007,90.955597,-17.835260,15.949215,128.141983,20.578281,13.446392,125.613754,-16.604921,-10.800423,84.227928,20.618498,-13.864647,86.363182,-14.295134,3.455585,47.905502,17.484221,-3.771870,48.002995,-13.106890,-6.468880,8.223400,12.878633,2.777569,9.626227,-16.596367,5.037975,2.299672,13.056301,14.596027,2.452853,,0.394094,0.537371,0.227403,0.648363,0.666915,0.248792,0.375028,0.562048,0.392768,0.864771,1.184281,0.605637,0.544105,0.584167,0.233661,0.825933,0.764607,0.420366,0.324908,0.736761,0.360213,0.406394,1.094445,0.185331,0.239959,1.140623,0.086690,0.341323,1.276334,0.159318,0.190719,1.146101,0.095455,0.500119,1.254890,0.118658
