Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),Left shoulder[x](cm),Left shoulder[y](cm),Left shoulder[z](cm),Right shoulder[x](cm),Right shoulder[y](cm),Right shoulder[z](cm),Left waist[x](cm),Left waist[y](cm),Left waist[z](cm),Right waist[x](cm),Right waist[y](cm),Right waist[z](cm),Left knee[x](cm),Left knee[y](cm),Left knee[z](cm),Right knee[x](cm),Right knee[y](cm),Right knee[z](cm),Left heel[x](cm),Left heel[y](cm),Left heel[z](cm),Right heel[x](cm),Right heel[y](cm),Right heel[z](cm),Left toe[x](cm),Left toe[y](cm),Left toe[z](cm),Right toe[x](cm),Right toe[y](cm),Right toe[z](cm),,SD_重心_LC[x](cm),SD_重心_LC[y](cm),SD_重心_LC[z](cm),SD_重心_RC[x](cm),SD_重心_RC[y](cm),SD_重心_RC[z](cm),SD_Left shoulder[x](cm),SD_Left shoulder[y](cm),SD_Left shoulder[z](cm),SD_Right shoulder[x](cm),SD_Right shoulder[y](cm),SD_Right shoulder[z](cm),SD_Left waist[x](cm),SD_Left waist[y](cm),SD_Left waist[z](cm),SD_Right waist[x](cm),SD_Right waist[y](cm),SD_Right waist[z](cm),SD_Left knee[x](cm),SD_Left knee[y](cm),SD_Left knee[z](cm),SD_Right knee[x](cm),SD_Right knee[y](cm),SD_Right knee[z](cm),SD_Left heel[x](cm),SD_Left heel[y](cm),SD_Left heel[z](cm),SD_Right heel[x](cm),SD_Right heel[y](cm),SD_Right heel[z](cm),SD_Left toe[x](cm),SD_Left toe[y](cm),SD_Left toe[z](cm),SD_Right toe[x](cm),SD_Right toe[y](cm),SD_Right toe[z](cm)
5.000000,0.086553,-0.504013,93.846420,-0.069438,-0.599968,93.655197,-21.382675,-2.418091,135.451736,22.779873,-1.921997,135.530609,-18.186703,2.778275,83.060020,18.103191,3.454079,81.927979,-13.707296,10.407173,47.605431,11.959846,11.875099,46.171173,-11.153236,15.576218,3.953665,9.837848,14.168709,4.347859,-11.114174,31.698204,5.785345,8.875316,31.972916,5.856537,,0.953806,1.973673,0.359505,1.013321,1.637917,0.369622,1.137714,1.419938,0.380467,1.034544,1.713893,0.714814,0.840196,2.084940,0.258351,0.983353,1.900760,0.212174,0.954336,2.486930,0.205502,1.028381,2.251030,0.123477,1.129019,3.478161,0.119351,1.006519,2.749796,0.107158,1.066590,3.327020,0.994212,0.958249,2.720545,0.415229
5.500000,0.020847,-0.466331,93.815216,-0.000762,-0.545052,93.625694,-21.491074,-2.313675,135.381866,22.895424,-1.792458,135.483292,-18.248493,2.905128,83.077484,18.163860,3.575790,81.937218,-13.758592,10.307419,47.574585,12.000857,11.774986,46.119061,-11.139010,14.997398,3.925962,9.831255,13.599663,4.340975,-11.023635,31.199089,5.453987,8.821586,31.465698,5.462217,,0.957439,1.991571,0.356452,1.013873,1.633724,0.357074,1.137265,1.440525,0.380436,1.024232,1.711148,0.695006,0.837278,2.106087,0.271820,0.992633,1.887342,0.195776,0.967642,2.483061,0.198666,1.032012,2.244441,0.127885,1.136807,3.481290,0.122788,1.005399,2.736814,0.117280,1.085843,3.359132,0.936906,0.952696,2.730837,0.382474
6.000000,-0.044463,-0.417450,93.796211,0.071120,-0.479073,93.620842,-21.588200,-2.200195,135.322250,23.008797,-1.639519,135.460205,-18.313240,3.011391,83.133652,18.240215,3.645424,81.992317,-13.827559,10.177177,47.571186,12.065244,11.649078,46.125134,-11.137158,14.414001,3.922991,9.843566,13.020920,4.363004,-10.989324,30.656189,5.222953,8.801360,30.914093,5.218560,,0.957794,2.009602,0.351614,1.017842,1.631911,0.342333,1.143499,1.462281,0.378600,1.019615,1.702509,0.670695,0.831542,2.116085,0.274257,1.005305,1.864118,0.181666,0.966518,2.478295,0.189030,1.038090,2.244151,0.124692,1.133349,3.482285,0.122261,1.009591,2.724521,0.116084,1.081637,3.383034,0.869883,0.956089,2.728403,0.346449
6.500000,-0.108122,-0.365097,93.784523,0.142708,-0.410629,93.625847,-21.681427,-2.081146,135.269775,23.118786,-1.480011,135.446442,-18.379856,3.099655,83.208679,18.321873,3.692902,82.064575,-13.898726,10.024353,47.583424,12.134904,11.514381,46.155495,-11.139530,13.830223,3.931564,9.857652,12.439163,4.393625,-10.974434,30.089928,5.052665,8.789636,30.346802,5.034335,,0.956319,2.026702,0.346311,1.022233,1.631698,0.331230,1.148946,1.483467,0.375924,1.017148,1.694381,0.647117,0.822910,2.120852,0.284874,1.016846,1.843507,0.182834,0.968111,2.482346,0.179031,1.039481,2.250175,0.122529,1.128650,3.485935,0.118008,1.017694,2.715907,0.113168,1.081892,3.411731,0.772675,0.960064,2.725541,0.302022
7.000000,-0.171782,-0.312744,93.772842,0.214295,-0.342186,93.630859,-21.774647,-1.962097,135.217285,23.228779,-1.320503,135.432693,-18.446472,3.187927,83.283714,18.403530,3.740387,82.136826,-13.969893,9.871529,47.595661,12.204566,11.379684,46.185852,-11.141901,13.246445,3.940136,9.871737,11.857414,4.424246,-10.959545,29.523674,4.882378,8.777912,29.779510,4.850110,,0.955106,2.043909,0.341430,1.026680,1.631721,0.320396,1.154806,1.505091,0.374469,1.014937,1.687072,0.624122,0.815425,2.126219,0.296767,1.029001,1.823222,0.186183,0.971180,2.486850,0.174367,1.041526,2.256528,0.121842,1.124416,3.489662,0.119609,1.026223,2.707528,0.111871,1.083249,3.440690,0.678030,0.964805,2.722734,0.260596
7.500000,-0.235441,-0.260391,93.761154,0.285882,-0.273743,93.635864,-21.867870,-1.843056,135.164810,23.338768,-1.160995,135.418930,-18.513090,3.276199,83.358742,18.485184,3.787865,82.209084,-14.041061,9.718704,47.607899,12.274228,11.244987,46.216213,-11.144273,12.662674,3.948709,9.885823,11.275658,4.454867,-10.944656,28.957413,4.712090,8.766189,29.212219,4.665885,,0.954156,2.061215,0.336988,1.031182,1.631977,0.309861,1.161069,1.527137,0.374250,1.012984,1.680591,0.601776,0.809119,2.132182,0.309785,1.041746,1.803274,0.191593,0.975710,2.491807,0.175468,1.044221,2.263208,0.122655,1.120655,3.493460,0.126843,1.035167,2.699383,0.112250,1.085705,3.469908,0.587188,0.970303,2.719985,0.223844
8.000000,-0.299100,-0.208038,93.749474,0.357470,-0.205299,93.640869,-21.961098,-1.724007,135.112335,23.448761,-1.001480,135.405182,-18.579708,3.364464,83.433769,18.566841,3.835350,82.281334,-14.112228,9.565880,47.620132,12.343890,11.110291,46.246574,-11.146645,12.078896,3.957282,9.899909,10.693909,4.485488,-10.929767,28.391151,4.541802,8.754464,28.644920,4.481660,,0.953469,2.078624,0.333005,1.035740,1.632472,0.299653,1.167731,1.549584,0.375276,1.011290,1.674947,0.580153,0.804020,2.138734,0.323797,1.055062,1.783672,0.198895,0.981682,2.497212,0.182226,1.047561,2.270210,0.124939,1.117369,3.497336,0.138833,1.044517,2.691477,0.114289,1.089251,3.499371,0.502217,0.976543,2.717291,0.194433
8.500000,-0.365569,-0.154236,93.740372,0.427180,-0.137367,93.649681,-22.056477,-1.603210,135.060883,23.556995,-0.840981,135.395264,-18.650162,3.441299,83.516632,18.644756,3.873955,82.357277,-14.193301,9.405312,47.636799,12.413541,10.962257,46.279572,-11.155995,11.487915,3.966529,9.914595,10.109703,4.516305,-10.926102,27.811302,4.401476,8.739516,28.071289,4.321846,,0.952796,2.097561,0.327724,1.038266,1.632691,0.287899,1.176558,1.573213,0.376350,1.009367,1.667503,0.557408,0.797740,2.144454,0.329606,1.064784,1.761550,0.207120,0.976048,2.503992,0.187376,1.050672,2.273342,0.127027,1.110751,3.496337,0.145988,1.053980,2.683064,0.117830,1.089857,3.515595,0.465159,0.982625,2.710932,0.171043
9.000000,-0.429200,-0.102776,93.745880,0.488319,-0.075348,93.679482,-22.143631,-1.484161,135.028503,23.650772,-0.674728,135.403870,-18.725456,3.479240,83.611420,18.713070,3.860840,82.455383,-14.269191,9.192650,47.660427,12.474551,10.753281,46.322739,-11.168153,10.882355,3.976335,9.919142,9.502037,4.545465,-10.917827,27.207603,4.344509,8.713750,27.470383,4.275604,,0.951732,2.111357,0.323645,1.036347,1.636065,0.282109,1.186485,1.591346,0.372190,1.010782,1.659973,0.543102,0.786780,2.136989,0.326611,1.065325,1.745683,0.215396,0.972765,2.518539,0.193695,1.054998,2.284050,0.120373,1.103572,3.493132,0.142428,1.061290,2.686463,0.114816,1.092733,3.520893,0.412582,0.991039,2.699501,0.152042
9.500000,-0.489850,-0.052917,93.753761,0.548656,-0.014137,93.711510,-22.228149,-1.366135,134.999512,23.742725,-0.507858,135.414276,-18.802094,3.508560,83.704041,18.781033,3.842064,82.555962,-14.342545,8.965881,47.682869,12.534123,10.538597,46.366722,-11.178165,10.274300,3.984334,9.921800,8.891273,4.574283,-10.908869,26.605057,4.295272,8.687257,26.867043,4.240154,,0.949059,2.124551,0.320260,1.034443,1.640360,0.278425,1.195871,1.609062,0.368230,1.013128,1.653973,0.531210,0.775620,2.129556,0.316101,1.066727,1.732175,0.224205,0.968852,2.539649,0.198854,1.060192,2.297910,0.113947,1.095717,3.490764,0.137243,1.068871,2.692156,0.112763,1.096037,3.519682,0.358307,1.000342,2.688515,0.134913
