168,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔
-- --(R),1.918,62.55,1.222,63.71,0.696,36.29,0.33,17.17,74.96,44.74,21.37
SD,0.051,,0.05,1.35,0.024,1.35,0.031,1.37,4.3,2.83,0.74
CV,2.667,,4.099,2.11,3.505,3.71,9.372,7.96,5.74,6.32,3.48
#NAME?,1.931,62.13,1.532,79.31,0.401,20.69,0.492,25.74,74.97,30.22,20.4
SD,0.058,,0.052,1.42,0.03,1.42,0.031,1.08,1.62,2.9,1.28
CV,3.026,,3.369,1.8,7.53,6.88,6.313,4.21,2.16,9.6,6.29
