Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左股関節[x](cm),左股関節[y](cm),左股関節[z](cm),右股関節[x](cm),右股関節[y](cm),右股関節[z](cm),左膝関節[x](cm),左膝関節[y](cm),左膝関節[z](cm),右膝関節[x](cm),右膝関節[y](cm),右膝関節[z](cm),左足関節[x](cm),左足関節[y](cm),左足関節[z](cm),右足関節[x](cm),右足関節[y](cm),右足関節[z](cm),左第5MP[x](cm),左第5MP[y](cm),左第5MP[z](cm),右第5MP[x](cm),右第5MP[y](cm),右第5MP[z](cm),,SD_重心_LC[x](cm),SD_重心_LC[y](cm),SD_重心_LC[z](cm),SD_重心_RC[x](cm),SD_重心_RC[y](cm),SD_重心_RC[z](cm),SD_左肩峰[x](cm),SD_左肩峰[y](cm),SD_左肩峰[z](cm),SD_右肩峰[x](cm),SD_右肩峰[y](cm),SD_右肩峰[z](cm),SD_左股関節[x](cm),SD_左股関節[y](cm),SD_左股関節[z](cm),SD_右股関節[x](cm),SD_右股関節[y](cm),SD_右股関節[z](cm),SD_左膝関節[x](cm),SD_左膝関節[y](cm),SD_左膝関節[z](cm),SD_右膝関節[x](cm),SD_右膝関節[y](cm),SD_右膝関節[z](cm),SD_左足関節[x](cm),SD_左足関節[y](cm),SD_左足関節[z](cm),SD_右足関節[x](cm),SD_右足関節[y](cm),SD_右足関節[z](cm),SD_左第5MP[x](cm),SD_左第5MP[y](cm),SD_左第5MP[z](cm),SD_右第5MP[x](cm),SD_右第5MP[y](cm),SD_右第5MP[z](cm)
0.000000,0.291613,-1.115498,89.668678,-1.476311,1.663368,88.947266,-14.996788,3.349152,128.766434,21.563425,10.302952,129.912003,-19.213469,-9.264057,82.559387,15.610907,-0.850376,74.219009,-22.638939,-3.025307,48.501633,11.296673,8.951962,43.761662,-23.649271,-5.638191,9.302732,9.947998,-5.442841,8.912330,-24.856848,7.106159,2.896070,9.291265,7.405895,1.071282,,0.535861,1.080278,0.315551,0.455892,0.488878,0.253664,1.033073,1.422699,0.588830,0.607918,0.782808,0.501524,0.389150,1.642667,0.517596,0.428033,0.462845,0.285813,0.482849,1.973897,0.689331,0.404691,1.088984,0.471158,0.869706,2.267913,0.575783,0.351686,1.122704,0.756809,1.005436,2.345408,0.554845,0.336881,1.337226,0.163155
0.500000,0.230818,-1.059502,89.612068,-1.415373,1.619316,88.910408,-15.117029,3.465439,128.674469,21.690378,10.325901,129.837753,-19.253475,-9.174076,82.465652,15.625437,-0.923981,74.162109,-22.548946,-3.109043,48.378433,11.244061,8.658504,43.650173,-23.435354,-5.739235,9.197991,9.884647,-5.577106,8.757051,-24.665144,7.012203,2.801148,9.289516,7.348454,1.044753,,0.545124,1.074410,0.293688,0.458117,0.489238,0.250103,1.026639,1.411709,0.590794,0.617622,0.794952,0.517372,0.393983,1.621904,0.467521,0.432905,0.466782,0.271474,0.476656,1.980260,0.626006,0.377949,1.055110,0.421762,0.805247,2.264127,0.518454,0.343394,1.149155,0.670289,0.935872,2.344579,0.494151,0.336165,1.344980,0.133327
1.000000,0.169971,-1.003494,89.555702,-1.354174,1.575317,88.873863,-15.237253,3.582191,128.582474,21.817711,10.349491,129.763260,-19.293068,-9.084724,82.372711,15.640310,-0.997478,74.105782,-22.459780,-3.193729,48.256279,11.191917,8.366032,43.540161,-23.222982,-5.840469,9.094032,9.821182,-5.713299,8.604343,-24.475349,6.918148,2.707200,9.288605,7.288441,1.019648,,0.554983,1.068706,0.272791,0.460930,0.490577,0.247216,1.023688,1.401470,0.594274,0.629807,0.808912,0.535094,0.401175,1.602808,0.419797,0.439300,0.471467,0.258506,0.479994,1.988019,0.564814,0.352271,1.024601,0.375293,0.764219,2.260472,0.464489,0.337589,1.175303,0.585531,0.884666,2.344050,0.435309,0.340713,1.354205,0.112449
1.500000,0.107783,-0.947243,89.500961,-1.291520,1.531929,88.838806,-15.359823,3.702358,128.490540,21.946819,10.375484,129.687714,-19.331989,-9.000080,82.284782,15.657324,-1.069973,74.052216,-22.377157,-3.283730,48.140549,11.143002,8.078838,43.436050,-23.022163,-5.943710,8.995653,9.760075,-5.852032,8.458826,-24.298616,6.822445,2.619378,9.289965,7.223530,0.997490,,0.564935,1.062984,0.253180,0.464026,0.493380,0.244971,1.022423,1.390955,0.598477,0.644450,0.824129,0.554064,0.409890,1.585559,0.374868,0.447292,0.476729,0.247679,0.493601,1.997868,0.507167,0.327017,0.997699,0.332756,0.751070,2.257555,0.416746,0.333013,1.201815,0.503896,0.857690,2.344323,0.380955,0.348341,1.365428,0.103224
2.000000,0.040506,-0.889664,89.459457,-1.218706,1.491653,88.815002,-15.489006,3.838047,128.404068,22.092739,10.417034,129.603271,-19.364111,-8.949200,82.226952,15.687605,-1.137394,74.019493,-22.329454,-3.407127,48.062668,11.114136,7.828709,43.376377,-22.887119,-6.054737,8.926686,9.710735,-6.014431,8.371000,-24.188034,6.721294,2.562490,9.306910,7.116985,0.998164,,0.572174,1.057514,0.230744,0.464446,0.499446,0.240967,1.015207,1.378401,0.595394,0.655506,0.840478,0.571176,0.419110,1.562533,0.327832,0.452283,0.479334,0.237378,0.496772,2.010476,0.448308,0.295844,0.967536,0.294941,0.738745,2.252056,0.374326,0.321134,1.216201,0.435776,0.833973,2.342839,0.330385,0.347787,1.367726,0.102452
2.500000,-0.026750,-0.832066,89.418060,-1.145882,1.451370,88.791229,-15.618141,3.973831,128.317688,22.238747,10.458645,129.518784,-19.396179,-8.898621,82.169327,15.717798,-1.204849,73.986824,-22.281775,-3.530861,47.984993,11.085274,7.578602,43.316814,-22.752403,-6.165779,8.857833,9.661423,-6.177010,8.283442,-24.077713,6.620121,2.505751,9.323936,7.010181,0.999004,,0.579893,1.052232,0.210022,0.465678,0.506537,0.237784,1.010663,1.366473,0.593412,0.668351,0.858093,0.589428,0.429992,1.541595,0.284730,0.458996,0.482638,0.229462,0.506793,2.024847,0.392216,0.268217,0.943408,0.265332,0.749839,2.246778,0.336299,0.313678,1.231098,0.370793,0.829025,2.341675,0.282764,0.349780,1.370888,0.106288
3.000000,-0.096124,-0.774281,89.381546,-1.070720,1.412258,88.770508,-15.749846,4.114780,128.232925,22.387533,10.503513,129.433517,-19.427191,-8.861408,82.123245,15.752094,-1.270248,73.959389,-22.248629,-3.664921,47.920609,11.063044,7.338215,43.266861,-22.643820,-6.278496,8.799417,9.618380,-6.338337,8.205163,-23.992847,6.517025,2.459222,9.343931,6.900234,1.001803,,0.586893,1.046548,0.192290,0.466998,0.515076,0.235153,1.004692,1.353117,0.591023,0.681266,0.876643,0.607486,0.440016,1.521814,0.246266,0.466441,0.486784,0.224192,0.522249,2.040537,0.341564,0.243661,0.925131,0.245636,0.776610,2.243351,0.305376,0.306476,1.244655,0.311644,0.840010,2.342036,0.242885,0.349441,1.373538,0.111221
3.500000,-0.168245,-0.715309,89.358063,-0.987874,1.375423,88.760040,-15.884399,4.263241,128.157608,22.549341,10.555599,129.344101,-19.456181,-8.855495,82.100174,15.796434,-1.331642,73.948906,-22.240471,-3.821640,47.882099,11.059700,7.127819,43.249352,-22.585936,-6.392738,8.759117,9.592813,-6.496883,8.159342,-23.949999,6.412861,2.430447,9.369825,6.777729,1.010107,,0.590228,1.040813,0.174867,0.466646,0.525768,0.231719,0.991778,1.337922,0.580327,0.685228,0.892841,0.620208,0.448558,1.498031,0.213060,0.471171,0.487839,0.220400,0.525810,2.056780,0.295178,0.224423,0.912474,0.238459,0.789854,2.239636,0.277914,0.302126,1.249997,0.272402,0.847523,2.341301,0.209231,0.339492,1.370152,0.109938
4.000000,-0.240287,-0.656208,89.335022,-0.905027,1.338596,88.749596,-16.018398,4.412098,128.082443,22.711235,10.607723,129.254639,-19.484800,-8.851025,82.077934,15.840734,-1.393070,73.938461,-22.232868,-3.979607,47.844269,11.056370,6.917492,43.231953,-22.529316,-6.507427,8.718950,9.567308,-6.655476,8.113678,-23.907860,6.308254,2.401779,9.395746,6.655117,1.018460,,0.593837,1.035282,0.161236,0.467081,0.537309,0.229012,0.980769,1.323215,0.570288,0.690530,0.910090,0.633628,0.458197,1.476898,0.186813,0.477815,0.489902,0.218831,0.535038,2.074779,0.252435,0.214957,0.906100,0.241031,0.815784,2.236323,0.253875,0.304202,1.256104,0.237848,0.865988,2.341082,0.181074,0.331060,1.366954,0.109874
4.500000,-0.313614,-0.596855,89.319443,-0.819767,1.302185,88.743431,-16.152292,4.564404,128.011246,22.875912,10.660114,129.166656,-19.514557,-8.865925,82.069427,15.888876,-1.452709,73.933846,-22.239916,-4.149647,47.820534,11.061625,6.716335,43.223415,-22.503410,-6.621956,8.689775,9.549660,-6.806534,8.074759,-23.891922,6.202305,2.382684,9.423838,6.534580,1.026029,,0.595649,1.029257,0.151919,0.467775,0.549344,0.226778,0.965947,1.306866,0.559656,0.694003,0.927100,0.645159,0.465009,1.454670,0.168048,0.484609,0.493118,0.218738,0.545092,2.091544,0.218274,0.215324,0.903483,0.251277,0.838481,2.235349,0.233823,0.305022,1.260995,0.209499,0.884855,2.342138,0.163141,0.319875,1.363002,0.109992
5.000000,-0.387026,-0.535709,89.313400,-0.729921,1.266071,88.745453,-16.285168,4.718651,127.948914,23.047575,10.710972,129.080032,-19.546591,-8.902935,82.073685,15.942303,-1.510433,73.940147,-22.257925,-4.331356,47.808746,11.081852,6.532818,43.233551,-22.505920,-6.736446,8.668299,9.546904,-6.942993,8.049066,-23.893616,6.096081,2.370520,9.452114,6.417194,1.030687,,0.593969,1.022791,0.145821,0.467637,0.561926,0.224373,0.947411,1.289524,0.542697,0.687611,0.939491,0.649808,0.469498,1.431552,0.158085,0.489131,0.494204,0.218827,0.549056,2.105090,0.190968,0.225811,0.906102,0.260686,0.843629,2.234668,0.214116,0.312209,1.261223,0.196579,0.897955,2.341820,0.150333,0.303599,1.356204,0.105454
5.500000,-0.459947,-0.474380,89.308098,-0.640042,1.229897,88.747597,-16.416075,4.873211,127.886826,23.219313,10.761623,128.993530,-19.577484,-8.942520,82.078850,15.995735,-1.568150,73.946564,-22.276295,-4.515095,47.797600,11.102346,6.349354,43.243774,-22.509434,-6.851604,8.646552,9.544228,-7.079254,8.023487,-23.895155,5.989208,2.357976,9.480358,6.299885,1.035252,,0.592257,1.016582,0.145478,0.468186,0.575085,0.222498,0.930910,1.272612,0.526669,0.682531,0.952891,0.654869,0.473820,1.411840,0.156109,0.495480,0.496694,0.220301,0.557902,2.120273,0.169192,0.244432,0.912325,0.273188,0.854757,2.234468,0.196263,0.324346,1.262296,0.187281,0.916035,2.342086,0.144416,0.289342,1.349592,0.102685
6.000000,-0.532339,-0.411915,89.310715,-0.548775,1.191879,88.754631,-16.544529,5.027622,127.830139,23.392384,10.805882,128.912552,-19.613466,-9.001282,82.095047,16.049957,-1.626171,73.956993,-22.301123,-4.709736,47.795780,11.130772,6.168804,43.258190,-22.537466,-6.966118,8.633050,9.546608,-7.204769,8.000187,-23.914520,5.880779,2.352293,9.509083,6.188580,1.037328,,0.588301,1.010368,0.146765,0.469246,0.587366,0.221110,0.912111,1.254349,0.511005,0.675147,0.964117,0.656683,0.474609,1.389417,0.155829,0.501685,0.499857,0.221996,0.563344,2.131421,0.157001,0.264620,0.916620,0.285613,0.850898,2.236019,0.180617,0.331984,1.262536,0.178378,0.925247,2.342518,0.142816,0.276037,1.343044,0.102231
6.500000,-0.602858,-0.347172,89.317932,-0.455679,1.152630,88.767654,-16.669537,5.181271,127.778366,23.566191,10.843105,128.837265,-19.653069,-9.070858,82.114746,16.105865,-1.683586,73.973145,-22.326097,-4.906574,47.795433,11.169901,5.995129,43.280594,-22.574093,-7.081234,8.620870,9.557877,-7.316345,7.979832,-23.934824,5.771580,2.347052,9.536568,6.084454,1.035483,,0.582182,1.003148,0.151261,0.469998,0.599284,0.219887,0.893977,1.235879,0.493418,0.660916,0.971200,0.652860,0.472841,1.369358,0.158932,0.505002,0.502704,0.222802,0.567774,2.135994,0.149281,0.284295,0.921928,0.288142,0.837093,2.237605,0.166368,0.340814,1.259454,0.175903,0.932552,2.341378,0.141612,0.263386,1.335406,0.099757
7.000000,-0.672369,-0.282234,89.325867,-0.362647,1.112801,88.781143,-16.792233,5.334553,127.726929,23.740118,10.878788,128.762863,-19.691448,-9.143032,82.134552,16.161594,-1.741543,73.989426,-22.349836,-5.105350,47.795151,11.209375,5.820690,43.302589,-22.610420,-7.196751,8.608340,9.568827,-7.427319,7.959404,-23.953943,5.662052,2.341622,9.563841,5.980778,1.033498,,0.575670,0.996269,0.159357,0.471262,0.611441,0.218865,0.878593,1.218103,0.477484,0.648221,0.979281,0.648955,0.470522,1.351868,0.164532,0.509624,0.506804,0.224520,0.573223,2.141457,0.146150,0.305839,0.928203,0.291246,0.824034,2.239594,0.154164,0.351796,1.256934,0.175253,0.940297,2.340549,0.144085,0.253819,1.328085,0.099246
7.500000,-0.739371,-0.214516,89.339676,-0.269969,1.069088,88.799355,-16.910908,5.484364,127.680077,23.912476,10.901928,128.697601,-19.736725,-9.227234,82.159065,16.214117,-1.801785,74.006996,-22.368683,-5.311184,47.796768,11.254488,5.641850,43.323986,-22.656734,-7.313683,8.599179,9.579712,-7.530689,7.938460,-23.977249,5.549664,2.339448,9.589676,5.882458,1.029664,,0.567913,0.990139,0.164763,0.473306,0.622052,0.218549,0.863509,1.198969,0.463035,0.634617,0.983583,0.642005,0.465177,1.334063,0.166503,0.514169,0.510659,0.226557,0.572257,2.142281,0.146927,0.320576,0.929539,0.292491,0.797235,2.241533,0.146964,0.359737,1.253286,0.172079,0.940552,2.338579,0.145391,0.248974,1.321051,0.099736
8.000000,-0.803684,-0.144821,89.353867,-0.177267,1.023468,88.821884,-17.026197,5.632465,127.633423,24.081415,10.916218,128.640228,-19.784636,-9.313740,82.181419,16.266821,-1.861885,74.027199,-22.383183,-5.512928,47.795166,11.306555,5.463451,43.347080,-22.700481,-7.431484,8.589995,9.594090,-7.626579,7.917315,-23.995644,5.436543,2.335922,9.615339,5.789227,1.024381,,0.559371,0.982362,0.171198,0.475058,0.632222,0.218585,0.849705,1.180248,0.450311,0.618979,0.986251,0.632559,0.458740,1.319215,0.167727,0.514976,0.515583,0.227649,0.570267,2.135133,0.146657,0.330160,0.930239,0.285384,0.768457,2.243410,0.142902,0.362956,1.246845,0.170287,0.940419,2.335388,0.144686,0.246678,1.313181,0.099053
8.500000,-0.867091,-0.074604,89.368576,-0.084985,0.976578,88.845459,-17.140934,5.779285,127.587097,24.250135,10.926769,128.585159,-19.832272,-9.401093,82.203148,16.318951,-1.923496,74.047417,-22.395458,-5.714787,47.793476,11.358471,5.282856,43.369156,-22.743488,-7.549797,8.580921,9.607416,-7.722149,7.895739,-24.013474,5.323132,2.333306,9.640249,5.696453,1.019270,,0.550606,0.975043,0.178041,0.477069,0.642502,0.218490,0.838439,1.161936,0.439260,0.605088,0.989595,0.622277,0.452669,1.305283,0.169608,0.516500,0.521112,0.229716,0.565973,2.127522,0.148302,0.339418,0.930858,0.278760,0.738302,2.245190,0.142360,0.367723,1.240542,0.170243,0.939471,2.332210,0.144748,0.246922,1.305516,0.099848
9.000000,-0.926795,-0.000725,89.385223,0.005219,0.925262,88.873260,-17.251297,5.921162,127.542160,24.414434,10.922619,128.540405,-19.883608,-9.489185,82.222481,16.365643,-1.987789,74.067642,-22.396418,-5.917999,47.787903,11.413979,5.094540,43.388985,-22.780954,-7.671608,8.570982,9.617294,-7.816677,7.874419,-24.024105,5.206341,2.331291,9.661842,5.605305,1.013922,,0.542602,0.968742,0.181705,0.479700,0.651316,0.219384,0.827964,1.142368,0.429276,0.592900,0.989636,0.610831,0.446008,1.294637,0.169822,0.517904,0.525990,0.232834,0.555881,2.117497,0.149467,0.342093,0.927963,0.271857,0.703258,2.245473,0.145072,0.373867,1.233115,0.168834,0.934850,2.327284,0.144136,0.251385,1.297804,0.099441
9.500000,-0.984315,0.074394,89.399979,0.094754,0.872070,88.904335,-17.361330,6.060642,127.494316,24.574253,10.910229,128.503616,-19.936995,-9.575245,82.238052,16.412405,-2.052105,74.089073,-22.394121,-6.113693,47.779194,11.473059,4.904099,43.407825,-22.813894,-7.793812,8.562963,9.627474,-7.910233,7.853092,-24.032446,5.089359,2.329368,9.684608,5.515820,1.009681,,0.534402,0.960452,0.183848,0.481639,0.660090,0.220962,0.816748,1.123606,0.421635,0.582638,0.990295,0.600013,0.440611,1.284489,0.168244,0.516207,0.532099,0.235345,0.542945,2.099989,0.148923,0.339870,0.924955,0.262196,0.671208,2.245780,0.148851,0.372650,1.224056,0.164742,0.929460,2.321857,0.140461,0.256002,1.289117,0.099328
10.000000,-1.041027,0.150368,89.414940,0.183118,0.817371,88.937286,-17.470694,6.197872,127.446182,24.732225,10.892338,128.470810,-19.989811,-9.659447,82.251961,16.458796,-2.118343,74.110947,-22.389507,-6.306683,47.770348,11.531923,4.710583,43.426079,-22.844400,-7.917011,8.554889,9.636219,-8.004807,7.831577,-24.039419,4.971859,2.328359,9.705292,5.426121,1.006086,,0.526640,0.952588,0.185601,0.483588,0.668883,0.222270,0.806456,1.104189,0.414910,0.573575,0.990991,0.587555,0.436526,1.275483,0.169190,0.515017,0.538446,0.238694,0.528895,2.081711,0.149491,0.338002,0.921770,0.253461,0.641278,2.245150,0.154417,0.374306,1.214936,0.162565,0.924276,2.316282,0.136334,0.261428,1.280344,0.100373
10.500000,-1.094439,0.229527,89.428802,0.268641,0.759315,88.973938,-17.578327,6.330639,127.396187,24.885654,10.862019,128.446457,-20.041143,-9.736126,82.260071,16.499830,-2.186214,74.133278,-22.376770,-6.495182,47.757271,11.591364,4.511219,43.443375,-22.863859,-8.043449,8.545454,9.642250,-8.103046,7.812340,-24.038963,4.852291,2.328535,9.721466,5.334827,1.002900,,0.520637,0.945231,0.184699,0.485048,0.677073,0.224935,0.796567,1.083908,0.407474,0.567799,0.990914,0.575866,0.434614,1.271153,0.169730,0.512704,0.544224,0.243173,0.512334,2.064531,0.148952,0.333891,0.918443,0.246022,0.614308,2.243039,0.158551,0.377219,1.205472,0.158975,0.917076,2.309554,0.132446,0.268608,1.271403,0.100314
11.000000,-1.146983,0.308895,89.440392,0.353444,0.699715,89.013390,-17.687708,6.460064,127.342354,25.035316,10.824787,128.429108,-20.094076,-9.809334,82.265495,16.541431,-2.254337,74.156418,-22.365673,-6.674980,47.743309,11.652233,4.309196,43.459461,-22.881548,-8.169567,8.539362,9.647215,-8.204105,7.794158,-24.040222,4.732830,2.329776,9.738659,5.242786,1.001776,,0.514679,0.936312,0.181614,0.485782,0.685422,0.228568,0.785447,1.064838,0.401812,0.565366,0.992010,0.566034,0.434329,1.264165,0.169799,0.509876,0.550452,0.247324,0.495037,2.041729,0.148738,0.327812,0.914947,0.240259,0.593517,2.240914,0.161890,0.374320,1.195812,0.151259,0.909466,2.303065,0.126228,0.274301,1.261730,0.101500
11.500000,-1.198738,0.388958,89.451561,0.436287,0.639359,89.055565,-17.795149,6.586140,127.287117,25.181417,10.782429,128.416428,-20.144800,-9.877338,82.267952,16.583632,-2.323135,74.181419,-22.354067,-6.848026,47.729313,11.712830,4.105270,43.476955,-22.894779,-8.296379,8.533040,9.652168,-8.307293,7.776831,-24.039583,4.613415,2.331640,9.752171,5.149853,1.001169,,0.509795,0.927287,0.178521,0.486133,0.694046,0.232322,0.775099,1.043830,0.396605,0.562162,0.993250,0.554371,0.435971,1.259967,0.171815,0.507209,0.557384,0.251289,0.480768,2.019606,0.148508,0.324193,0.911928,0.235102,0.580247,2.237100,0.165472,0.373570,1.186530,0.144801,0.903582,2.296324,0.120444,0.280601,1.251932,0.102937
