Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左股関節[x](cm),左股関節[y](cm),左股関節[z](cm),右股関節[x](cm),右股関節[y](cm),右股関節[z](cm),左膝関節[x](cm),左膝関節[y](cm),左膝関節[z](cm),右膝関節[x](cm),右膝関節[y](cm),右膝関節[z](cm),左足関節[x](cm),左足関節[y](cm),左足関節[z](cm),右足関節[x](cm),右足関節[y](cm),右足関節[z](cm),左第5MP[x](cm),左第5MP[y](cm),左第5MP[z](cm),右第5MP[x](cm),右第5MP[y](cm),右第5MP[z](cm),,SD_重心_LC[x](cm),SD_重心_LC[y](cm),SD_重心_LC[z](cm),SD_重心_RC[x](cm),SD_重心_RC[y](cm),SD_重心_RC[z](cm),SD_左肩峰[x](cm),SD_左肩峰[y](cm),SD_左肩峰[z](cm),SD_右肩峰[x](cm),SD_右肩峰[y](cm),SD_右肩峰[z](cm),SD_左股関節[x](cm),SD_左股関節[y](cm),SD_左股関節[z](cm),SD_右股関節[x](cm),SD_右股関節[y](cm),SD_右股関節[z](cm),SD_左膝関節[x](cm),SD_左膝関節[y](cm),SD_左膝関節[z](cm),SD_右膝関節[x](cm),SD_右膝関節[y](cm),SD_右膝関節[z](cm),SD_左足関節[x](cm),SD_左足関節[y](cm),SD_左足関節[z](cm),SD_右足関節[x](cm),SD_右足関節[y](cm),SD_右足関節[z](cm),SD_左第5MP[x](cm),SD_左第5MP[y](cm),SD_左第5MP[z](cm),SD_右第5MP[x](cm),SD_右第5MP[y](cm),SD_右第5MP[z](cm)
0.000000,2.237502,-2.223236,93.099060,-3.695583,1.812950,92.342682,-12.227100,4.515175,134.768661,18.934954,5.128998,138.746536,-19.358978,-5.893951,84.227531,13.394594,-2.136490,78.053314,-20.379570,1.717560,46.499378,12.272528,11.648468,42.644875,-21.613316,2.729980,7.206202,8.500045,6.420357,4.745914,-23.201269,12.163857,2.130738,11.222992,14.392670,1.357249,,0.592394,0.947071,0.144557,0.493961,1.204451,0.245078,0.974289,1.250325,0.304680,0.702891,1.081049,0.332565,0.459602,1.384303,0.272093,0.407114,1.142280,0.340734,0.296594,1.572810,0.281614,0.442619,1.101289,0.139563,0.513975,2.003304,0.322743,0.662384,1.475263,0.117155,0.556870,2.064411,0.154618,0.601610,1.553815,0.114323
0.500000,2.121517,-2.226105,93.048340,-3.595357,1.805077,92.304008,-12.407162,4.559204,134.698578,19.108778,5.155685,138.677383,-19.448689,-5.798470,84.136360,13.474453,-2.090401,77.989792,-20.378445,1.542152,46.360142,12.264257,11.514755,42.516197,-21.491423,2.563377,7.069911,8.454813,6.230408,4.648068,-23.152246,11.982224,2.047280,11.274746,14.158882,1.254750,,0.585970,0.934204,0.149508,0.497427,1.208825,0.248407,0.962278,1.238968,0.296430,0.698722,1.093307,0.337085,0.454486,1.376883,0.273419,0.407683,1.145591,0.337250,0.294313,1.561218,0.278084,0.452639,1.097868,0.129484,0.517080,2.001014,0.319654,0.673253,1.485054,0.095436,0.570378,2.064006,0.136713,0.608168,1.560989,0.097022
1.000000,2.005312,-2.228951,92.997841,-3.494990,1.797211,92.265564,-12.587458,4.603409,134.628525,19.282656,5.182480,138.608444,-19.538719,-5.702957,84.045517,13.554564,-2.044525,77.926483,-20.377785,1.366043,46.221317,12.256252,11.381516,42.388126,-21.370821,2.395943,6.934055,8.410028,6.039185,4.550932,-23.104364,11.799904,1.964338,11.326946,13.923836,1.152995,,0.580486,0.922017,0.154867,0.500921,1.213506,0.251812,0.951706,1.229503,0.289084,0.695574,1.105938,0.342289,0.450798,1.370615,0.275698,0.408284,1.149941,0.334164,0.295656,1.552998,0.276710,0.462745,1.098258,0.123070,0.524870,1.999955,0.318531,0.684285,1.494433,0.076624,0.585878,2.065174,0.122511,0.614609,1.567637,0.083213
1.500000,1.880226,-2.230598,92.955193,-3.381963,1.792526,92.247520,-12.781563,4.659363,134.559219,19.471952,5.212189,138.548996,-19.638790,-5.611771,83.970268,13.641441,-2.012367,77.886620,-20.399300,1.156212,46.101894,12.263277,11.288223,42.304737,-21.289036,2.172630,6.814402,8.387967,5.790710,4.503556,-23.096228,11.565491,1.900961,11.391459,13.629616,1.100790,,0.574352,0.909278,0.158009,0.506007,1.218376,0.257073,0.936616,1.219831,0.279298,0.702016,1.119850,0.351271,0.447096,1.361762,0.275964,0.411348,1.153603,0.330116,0.293197,1.545469,0.275228,0.473227,1.102662,0.118114,0.515703,1.990554,0.315842,0.682714,1.484810,0.058666,0.589863,2.056662,0.114331,0.615645,1.555500,0.072571
2.000000,1.753898,-2.232208,92.913948,-3.267669,1.788170,92.231468,-12.977637,4.716560,134.490097,19.662500,5.242104,138.490845,-19.740444,-5.521179,83.897736,13.728802,-1.981468,77.849022,-20.423491,0.941116,45.985317,12.272345,11.198463,42.225586,-21.211824,1.943436,6.697161,8.368732,5.538116,4.460768,-23.092077,11.326012,1.840123,11.457085,13.331375,1.053030,,0.569341,0.897216,0.160545,0.510832,1.223667,0.263131,0.923079,1.211534,0.270152,0.711704,1.134616,0.363020,0.444598,1.353707,0.275222,0.414363,1.157908,0.326861,0.292884,1.542528,0.273785,0.482873,1.109685,0.115964,0.509176,1.982276,0.312975,0.679786,1.475185,0.046281,0.595419,2.048722,0.107928,0.616072,1.543352,0.064237
2.500000,1.621831,-2.233101,92.883255,-3.142700,1.787094,92.234383,-13.182914,4.783760,134.426758,19.864208,5.273773,138.446106,-19.850224,-5.440857,83.845276,13.824238,-1.961128,77.834587,-20.472626,0.691299,45.892029,12.295918,11.130302,42.182358,-21.172022,1.677849,6.597530,8.369038,5.278328,4.451414,-23.116711,11.056686,1.792291,11.516411,13.028786,1.040051,,0.564776,0.886189,0.161662,0.516956,1.229602,0.270490,0.908031,1.204965,0.262754,0.728528,1.147534,0.377956,0.441974,1.342630,0.274886,0.417608,1.162555,0.323524,0.286938,1.533335,0.272388,0.489433,1.117715,0.115320,0.491468,1.965450,0.309305,0.668504,1.457201,0.039268,0.590304,2.032032,0.105234,0.612703,1.523745,0.058913
3.000000,1.488782,-2.233917,92.856117,-3.015276,1.786728,92.241333,-13.390510,4.852821,134.365875,20.068293,5.305664,138.404602,-19.961918,-5.363686,83.799545,13.920847,-1.942871,77.825211,-20.527420,0.430847,45.805794,12.323423,11.066017,42.146317,-21.139891,1.403175,6.503787,8.373869,5.018661,4.448632,-23.146973,10.780212,1.748761,11.574036,12.727150,1.033388,,0.561038,0.875863,0.161227,0.522696,1.236279,0.279355,0.893576,1.199175,0.256466,0.750972,1.161500,0.397424,0.440479,1.332349,0.270847,0.421370,1.167848,0.321726,0.282300,1.528309,0.268033,0.494241,1.127138,0.114864,0.477895,1.949045,0.302394,0.655104,1.439002,0.038814,0.586013,2.014601,0.101227,0.609702,1.503486,0.053847
3.500000,1.352334,-2.233788,92.840210,-2.880003,1.787560,92.263504,-13.602036,4.930542,134.313797,20.280764,5.337128,138.377197,-20.080145,-5.300247,83.773758,14.023973,-1.930550,77.835442,-20.603119,0.143341,45.741753,12.362904,10.996597,42.130756,-21.133471,1.113129,6.426075,8.390816,4.773544,4.459824,-23.192133,10.494659,1.712598,11.615490,12.447243,1.042527,,0.558619,0.867889,0.161093,0.528876,1.243536,0.288348,0.881335,1.196114,0.253520,0.775465,1.171354,0.417590,0.439114,1.318615,0.270510,0.424263,1.174076,0.320159,0.275121,1.515670,0.266054,0.493859,1.132729,0.114466,0.461777,1.927263,0.297808,0.638517,1.421817,0.039961,0.575200,1.993035,0.099026,0.604674,1.485393,0.050923
4.000000,1.216199,-2.233208,92.830559,-2.741819,1.788879,92.291031,-13.813584,5.010834,134.268585,20.496181,5.368530,138.354797,-20.199732,-5.244377,83.758461,14.128960,-1.920235,77.852852,-20.686510,-0.157166,45.689011,12.407017,10.924454,42.121635,-21.134829,0.815208,6.357786,8.411180,4.534462,4.475149,-23.242201,10.203972,1.681353,11.650667,12.175667,1.055651,,0.556175,0.860664,0.158621,0.534396,1.251757,0.298704,0.868386,1.193100,0.252682,0.803088,1.180998,0.441229,0.438626,1.306756,0.265022,0.427969,1.181378,0.320684,0.268707,1.505009,0.258757,0.491325,1.139731,0.112868,0.451480,1.906056,0.287472,0.620689,1.404129,0.042666,0.563317,1.970579,0.094463,0.601648,1.465828,0.047219
4.500000,1.078390,-2.230942,92.831161,-2.598576,1.789024,92.329430,-14.024538,5.097824,134.233688,20.718340,5.398125,138.344559,-20.324665,-5.202820,83.759666,14.237406,-1.912270,77.884804,-20.782696,-0.471634,45.654327,12.459732,10.826141,42.118492,-21.146282,0.517296,6.303004,8.436154,4.309212,4.488881,-23.294886,9.916847,1.654325,11.670315,11.927483,1.069362,,0.555378,0.856249,0.157665,0.539496,1.260245,0.308223,0.860439,1.192768,0.255131,0.828311,1.186628,0.462884,0.438796,1.291979,0.265367,0.430868,1.189227,0.321332,0.264322,1.491104,0.256133,0.483848,1.139078,0.110842,0.443982,1.883742,0.281939,0.604084,1.391666,0.043620,0.550451,1.948632,0.091155,0.597960,1.452649,0.044469
5.000000,0.941633,-2.227356,92.839394,-2.452866,1.788696,92.373451,-14.232156,5.188889,134.208969,20.943701,5.427261,138.339935,-20.450722,-5.172440,83.771347,14.347891,-1.905663,77.924599,-20.885073,-0.795494,45.631737,12.516214,10.713295,42.117588,-21.161369,0.216766,6.258163,8.461050,4.090752,4.500906,-23.349216,9.629341,1.630982,11.681433,11.690132,1.081937,,0.553938,0.852759,0.154357,0.543268,1.269410,0.317773,0.852002,1.191752,0.260579,0.847426,1.188775,0.483362,0.439158,1.279797,0.262605,0.434040,1.198460,0.323806,0.260784,1.476490,0.249711,0.474673,1.141023,0.108312,0.440438,1.862776,0.272518,0.588631,1.378847,0.044771,0.535488,1.926878,0.087367,0.597057,1.438025,0.041937
5.500000,0.804684,-2.221107,92.856133,-2.304362,1.786049,92.424591,-14.436007,5.284210,134.195450,21.174109,5.454926,138.344284,-20.580700,-5.154793,83.794548,14.459347,-1.900162,77.973862,-20.991468,-1.119629,45.622070,12.578104,10.567253,42.114254,-21.173075,-0.077141,6.224301,8.485647,3.875275,4.503998,-23.398327,9.348480,1.610633,11.684162,11.464760,1.087787,,0.553639,0.851541,0.152474,0.546384,1.278694,0.326320,0.848119,1.192501,0.268222,0.864412,1.189291,0.501093,0.440456,1.266920,0.264913,0.437199,1.207202,0.326302,0.259821,1.463833,0.247906,0.462971,1.134807,0.105847,0.440703,1.843881,0.267630,0.577165,1.370151,0.045730,0.524534,1.908172,0.084378,0.596579,1.428292,0.038529
6.000000,0.668448,-2.212257,92.880226,-2.154312,1.781731,92.480751,-14.634249,5.384529,134.193054,21.408096,5.482170,138.353104,-20.712994,-5.149406,83.825256,14.572411,-1.895691,78.030022,-21.100243,-1.444817,45.622498,12.641947,10.396118,42.108376,-21.183199,-0.367302,6.199157,8.506659,3.660217,4.499737,-23.445141,9.071899,1.592690,11.681158,11.244972,1.088141,,0.552773,0.851482,0.148483,0.547204,1.287698,0.332969,0.845872,1.192190,0.279097,0.863830,1.181959,0.511386,0.441618,1.256873,0.266645,0.439528,1.216768,0.329361,0.258182,1.452146,0.245402,0.450724,1.132196,0.104259,0.439885,1.827388,0.262247,0.569660,1.361906,0.046814,0.512359,1.890827,0.081110,0.597947,1.418391,0.037517
6.500000,0.532917,-2.200020,92.910522,-2.003206,1.775475,92.541336,-14.827663,5.487328,134.201385,21.644613,5.509499,138.367844,-20.847462,-5.153282,83.861549,14.685751,-1.893188,78.091530,-21.205538,-1.760460,45.630180,12.708677,10.197762,42.098415,-21.182377,-0.651443,6.181464,8.525286,3.438393,4.487052,-23.483921,8.798767,1.576832,11.677420,11.024384,1.081620,,0.552048,0.852657,0.145288,0.547748,1.296981,0.339053,0.844404,1.192313,0.289844,0.864852,1.175907,0.519923,0.443725,1.248551,0.270553,0.442574,1.225011,0.332654,0.256690,1.443830,0.245423,0.439287,1.124166,0.103214,0.443743,1.813770,0.259303,0.566998,1.353992,0.049367,0.506484,1.876700,0.078173,0.600789,1.408683,0.034881
7.000000,0.397381,-2.183594,92.946762,-1.851349,1.767044,92.605766,-15.014839,5.594536,134.219971,21.884882,5.537331,138.384659,-20.985884,-5.167931,83.901276,14.800001,-1.892395,78.157654,-21.309256,-2.066437,45.644711,12.775665,9.972786,42.084202,-21.175802,-0.927788,6.170972,8.539612,3.207771,4.465826,-23.517078,8.531723,1.562527,11.674671,10.799606,1.069319,,0.550901,0.854911,0.140115,0.545515,1.304866,0.341942,0.846100,1.191301,0.302624,0.844694,1.159688,0.517374,0.445829,1.243761,0.274509,0.444010,1.232368,0.334711,0.252665,1.440248,0.246248,0.428765,1.119429,0.102999,0.443430,1.803051,0.257169,0.569351,1.347643,0.051208,0.501080,1.864480,0.073801,0.603273,1.400657,0.035127
