169,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔
-- --(R),1.254,95.71,1.045,83.35,0.209,16.65,0.361,28.77,48.63,12.98,25.48
SD,0.072,,0.057,1.76,0.028,1.76,0.035,1.95,4.84,3.78,0.83
CV,5.729,,5.421,2.11,13.222,10.55,9.715,6.77,9.94,29.15,3.25
#NAME?,1.255,95.59,0.901,71.82,0.352,28.18,0.327,26.73,48.75,35.65,23.15
SD,0.063,,0.051,2,0.029,2,0.034,2.67,3.91,2.34,1.25
CV,5.056,,5.693,2.79,8.247,7.11,10.444,10,8.01,6.56,5.41
