168,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔
-- --(R),1.44,83.32,0.954,66.35,0.487,33.65,0.185,12.98,83.46,35.13,24.16
SD,0.085,,0.028,3.89,0.079,3.89,0.015,1.4,3.96,2.73,1.16
CV,5.909,,2.92,5.87,16.222,11.57,7.98,10.81,4.75,7.76,4.8
#NAME?,1.44,83.35,0.835,57.88,0.605,42.12,0.163,11.35,84.33,49.19,22.79
SD,0.073,,0.069,2.01,0.017,2.01,0.016,1.41,4.63,3.52,1.79
CV,5.067,,8.269,3.47,2.73,4.77,9.96,12.41,5.49,7.16,7.86
