Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左股関節[x](cm),左股関節[y](cm),左股関節[z](cm),右股関節[x](cm),右股関節[y](cm),右股関節[z](cm),左膝関節[x](cm),左膝関節[y](cm),左膝関節[z](cm),右膝関節[x](cm),右膝関節[y](cm),右膝関節[z](cm),左足関節[x](cm),左足関節[y](cm),左足関節[z](cm),右足関節[x](cm),右足関節[y](cm),右足関節[z](cm),左第5MP[x](cm),左第5MP[y](cm),左第5MP[z](cm),右第5MP[x](cm),右第5MP[y](cm),右第5MP[z](cm),,SD_重心_LC[x](cm),SD_重心_LC[y](cm),SD_重心_LC[z](cm),SD_重心_RC[x](cm),SD_重心_RC[y](cm),SD_重心_RC[z](cm),SD_左肩峰[x](cm),SD_左肩峰[y](cm),SD_左肩峰[z](cm),SD_右肩峰[x](cm),SD_右肩峰[y](cm),SD_右肩峰[z](cm),SD_左股関節[x](cm),SD_左股関節[y](cm),SD_左股関節[z](cm),SD_右股関節[x](cm),SD_右股関節[y](cm),SD_右股関節[z](cm),SD_左膝関節[x](cm),SD_左膝関節[y](cm),SD_左膝関節[z](cm),SD_右膝関節[x](cm),SD_右膝関節[y](cm),SD_右膝関節[z](cm),SD_左足関節[x](cm),SD_左足関節[y](cm),SD_左足関節[z](cm),SD_右足関節[x](cm),SD_右足関節[y](cm),SD_右足関節[z](cm),SD_左第5MP[x](cm),SD_左第5MP[y](cm),SD_左第5MP[z](cm),SD_右第5MP[x](cm),SD_右第5MP[y](cm),SD_右第5MP[z](cm)
0.000000,2.756523,2.468185,80.559921,-1.326888,-1.765358,79.925621,-14.188644,6.099724,117.032173,14.959656,-0.310089,111.836311,-15.022659,-1.137299,73.878029,14.979073,-4.707443,74.538963,-12.257231,7.882324,37.723190,17.912447,8.346107,41.286060,-10.171497,0.707016,6.884072,18.440414,9.235435,7.918252,-12.188580,11.527885,1.911861,17.899355,18.629326,1.962068,,0.240892,0.585328,0.103217,0.292116,0.561886,0.174319,0.498633,0.573536,0.252142,0.547971,0.877035,0.432906,0.274695,0.570164,0.220474,0.383793,0.774548,0.324102,0.294029,0.523514,0.205421,0.340632,0.672467,0.416356,0.296405,0.817896,0.209286,0.355554,0.791151,0.356241,0.314346,0.941179,0.095574,0.377870,0.884596,0.149992
0.500000,2.653272,2.405746,80.541077,-1.236209,-1.696640,79.877007,-14.336992,6.124069,117.017250,15.064604,-0.163643,111.831062,-15.131142,-1.040123,73.795563,15.114046,-4.425468,74.446739,-12.223068,7.717422,37.593445,17.861763,8.416634,41.080883,-10.163099,0.614540,6.773818,18.269611,9.222916,7.762177,-12.163961,11.449341,1.833533,17.757799,18.603355,1.907746,,0.243293,0.587235,0.101226,0.293450,0.559494,0.179732,0.500969,0.581456,0.256352,0.557546,0.862001,0.437803,0.269279,0.563651,0.218012,0.373678,0.778214,0.328561,0.292108,0.510301,0.195468,0.327467,0.688908,0.424071,0.290504,0.816106,0.178356,0.349850,0.788698,0.351568,0.307087,0.941595,0.088890,0.362726,0.877020,0.143449
1.000000,2.549953,2.343300,80.522400,-1.145394,-1.627838,79.828407,-14.485374,6.148529,117.002403,15.169764,-0.016586,111.825813,-15.239561,-0.942993,73.713318,15.249170,-4.143036,74.354607,-12.189035,7.552933,37.464100,17.810831,8.485985,40.875389,-10.154873,0.521072,6.664367,18.098219,9.207397,7.606183,-12.139425,11.369606,1.755524,17.616703,18.574570,1.854068,,0.246973,0.589216,0.100186,0.295725,0.557262,0.185655,0.504340,0.589799,0.260975,0.568594,0.848256,0.443144,0.268581,0.558023,0.216395,0.367321,0.781846,0.333630,0.294889,0.498730,0.187284,0.318423,0.712976,0.433581,0.295104,0.815481,0.149208,0.349876,0.792220,0.348394,0.302642,0.943519,0.093962,0.353417,0.873612,0.143005
1.500000,2.441487,2.279663,80.513947,-1.050566,-1.557182,79.783463,-14.640831,6.179619,116.989998,15.280567,0.142624,111.821480,-15.349133,-0.851028,73.647774,15.384417,-3.857903,74.269363,-12.169418,7.399330,37.359959,17.764370,8.534142,40.675022,-10.154552,0.387100,6.584302,17.928646,9.147331,7.457033,-12.118406,11.243515,1.694624,17.488958,18.505951,1.812593,,0.250278,0.590978,0.100331,0.297020,0.555415,0.191041,0.500778,0.596807,0.264394,0.569492,0.838236,0.446842,0.271751,0.552070,0.216832,0.364206,0.782957,0.335264,0.298333,0.489832,0.180784,0.307162,0.740016,0.437393,0.306747,0.814981,0.128009,0.351553,0.800300,0.342403,0.300758,0.944364,0.104672,0.351753,0.873781,0.144774
2.000000,2.325619,2.214821,80.520111,-0.949516,-1.484131,79.744331,-14.805622,6.220741,116.981735,15.396265,0.319977,111.818901,-15.460188,-0.766396,73.605759,15.522362,-3.569679,74.195168,-12.169819,7.261337,37.291233,17.724833,8.550484,40.483288,-10.164017,0.197960,6.544832,17.762871,9.020714,7.319287,-12.102623,11.054062,1.657382,17.380383,18.378387,1.788640,,0.253495,0.592521,0.099916,0.298170,0.553980,0.195056,0.487225,0.601167,0.264977,0.556757,0.833402,0.447075,0.277579,0.545437,0.216603,0.363845,0.779794,0.331019,0.301256,0.481533,0.172997,0.291375,0.766939,0.431213,0.321501,0.820998,0.111670,0.352189,0.809189,0.330024,0.298998,0.950994,0.114341,0.356560,0.874902,0.146245
2.500000,2.209719,2.149948,80.526474,-0.848467,-1.411079,79.705200,-14.970354,6.262009,116.973595,15.511965,0.497322,111.816330,-15.571362,-0.681923,73.564102,15.660307,-3.281456,74.120964,-12.170498,7.123245,37.222862,17.685297,8.566833,40.291553,-10.173826,0.008423,6.505618,17.597095,8.894096,7.181542,-12.086885,10.864258,1.620355,17.271805,18.250824,1.764687,,0.257815,0.594140,0.100919,0.300525,0.552711,0.199549,0.474784,0.605967,0.266083,0.546862,0.830551,0.448116,0.286915,0.539720,0.217770,0.366122,0.777383,0.327866,0.307853,0.474304,0.167145,0.279395,0.798458,0.426428,0.342961,0.827478,0.103506,0.358138,0.821404,0.319103,0.299805,0.958311,0.127042,0.366097,0.878624,0.149983
3.000000,2.084992,2.084351,80.555283,-0.737620,-1.333565,79.682808,-15.141581,6.321648,116.976425,15.641428,0.703545,111.818474,-15.687544,-0.610687,73.561325,15.802422,-3.005600,74.077118,-12.204580,6.982376,37.199520,17.666880,8.535980,40.128796,-10.204687,-0.216797,6.496841,17.457899,8.703743,7.067815,-12.079910,10.633751,1.605955,17.196716,18.068306,1.757877,,0.260194,0.594828,0.103126,0.301292,0.551223,0.200514,0.452271,0.607205,0.264188,0.524676,0.833452,0.446112,0.295447,0.532662,0.221207,0.369011,0.770745,0.317893,0.309578,0.468197,0.162732,0.258012,0.818667,0.407832,0.349720,0.834172,0.104180,0.359760,0.830371,0.302404,0.301725,0.961729,0.131284,0.375221,0.882541,0.145035
3.500000,1.958430,2.018944,80.589088,-0.624258,-1.255264,79.664627,-15.313972,6.386108,116.982407,15.771599,0.916443,111.821983,-15.804287,-0.542168,73.567131,15.947638,-2.733696,74.040894,-12.245295,6.840935,37.185753,17.654539,8.494354,39.974438,-10.238222,-0.448715,6.493982,17.326141,8.499733,6.960783,-12.075645,10.395348,1.596428,17.128984,17.874542,1.754455,,0.263986,0.595383,0.105337,0.303938,0.550088,0.200542,0.429324,0.607240,0.260594,0.503772,0.839577,0.443654,0.305775,0.526523,0.222533,0.374090,0.763915,0.307219,0.314797,0.463419,0.159747,0.240406,0.839985,0.385647,0.358032,0.843157,0.108041,0.363497,0.839492,0.284749,0.304891,0.967269,0.134452,0.386736,0.886804,0.140942
4.000000,1.829598,1.953110,80.629517,-0.508442,-1.175392,79.654045,-15.485542,6.456184,116.993088,15.904579,1.137718,111.828850,-15.924686,-0.477684,73.583870,16.094065,-2.470345,74.017746,-12.296041,6.690010,37.181595,17.650028,8.437630,39.831631,-10.278463,-0.682014,6.493487,17.206896,8.286285,6.861798,-12.073099,10.155464,1.589819,17.070753,17.672485,1.752941,,0.267695,0.595821,0.109418,0.307021,0.548632,0.200500,0.407712,0.607711,0.259409,0.485788,0.847728,0.441352,0.316866,0.519990,0.228333,0.381542,0.757412,0.298175,0.318683,0.455087,0.158405,0.223830,0.856988,0.363809,0.357118,0.852638,0.113252,0.368562,0.847033,0.267422,0.308561,0.972007,0.136511,0.395696,0.891010,0.136630
4.500000,1.695463,1.887222,80.689590,-0.384124,-1.090622,79.667183,-15.654989,6.545906,117.020348,16.047007,1.386223,111.845245,-16.052151,-0.423203,73.634102,16.249271,-2.236130,74.035385,-12.373316,6.509979,37.204151,17.674446,8.334869,39.729805,-10.330715,-0.914940,6.497564,17.129963,8.048027,6.790584,-12.079788,9.914108,1.591720,17.042648,17.449333,1.756761,,0.270777,0.594977,0.112194,0.310531,0.547003,0.195783,0.384492,0.603735,0.253282,0.467943,0.857885,0.436883,0.323653,0.513798,0.228119,0.388290,0.750118,0.285978,0.323410,0.451409,0.160373,0.207860,0.864090,0.331590,0.342166,0.859910,0.114736,0.367053,0.850686,0.248165,0.312669,0.972119,0.130939,0.399455,0.893805,0.126898
