160,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔
-- --(R),1.154,103.94,0.911,78.94,0.243,21.06,0.246,20.81,22.34,9.73,32.39
SD,0.036,,0.027,1.55,0.021,1.55,0.04,2.96,1.49,2.7,0.63
CV,3.134,,2.959,1.97,8.796,7.37,16.317,14.24,6.66,27.76,1.94
#NAME?,1.163,103.15,0.754,64.79,0.407,35.21,0.266,22.49,22.57,12.88,33.44
SD,0.049,,0.037,2.78,0.041,2.78,0.042,3.63,3.98,1.72,0.67
CV,4.192,,4.929,4.29,10.121,7.89,15.956,16.13,17.65,13.33,2
