Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左股関節[x](cm),左股関節[y](cm),左股関節[z](cm),右股関節[x](cm),右股関節[y](cm),右股関節[z](cm),左膝関節[x](cm),左膝関節[y](cm),左膝関節[z](cm),右膝関節[x](cm),右膝関節[y](cm),右膝関節[z](cm),左足関節[x](cm),左足関節[y](cm),左足関節[z](cm),右足関節[x](cm),右足関節[y](cm),右足関節[z](cm),左第5MP[x](cm),左第5MP[y](cm),左第5MP[z](cm),右第5MP[x](cm),右第5MP[y](cm),右第5MP[z](cm),,SD_重心_LC[x](cm),SD_重心_LC[y](cm),SD_重心_LC[z](cm),SD_重心_RC[x](cm),SD_重心_RC[y](cm),SD_重心_RC[z](cm),SD_左肩峰[x](cm),SD_左肩峰[y](cm),SD_左肩峰[z](cm),SD_右肩峰[x](cm),SD_右肩峰[y](cm),SD_右肩峰[z](cm),SD_左股関節[x](cm),SD_左股関節[y](cm),SD_左股関節[z](cm),SD_右股関節[x](cm),SD_右股関節[y](cm),SD_右股関節[z](cm),SD_左膝関節[x](cm),SD_左膝関節[y](cm),SD_左膝関節[z](cm),SD_右膝関節[x](cm),SD_右膝関節[y](cm),SD_右膝関節[z](cm),SD_左足関節[x](cm),SD_左足関節[y](cm),SD_左足関節[z](cm),SD_右足関節[x](cm),SD_右足関節[y](cm),SD_右足関節[z](cm),SD_左第5MP[x](cm),SD_左第5MP[y](cm),SD_左第5MP[z](cm),SD_右第5MP[x](cm),SD_右第5MP[y](cm),SD_右第5MP[z](cm)
0.000000,1.596190,1.678902,86.043419,-1.387368,-1.164818,88.298195,-16.149372,2.507694,129.158661,15.639487,-5.491093,127.387215,-16.394085,1.159264,74.903358,15.689073,-2.095867,78.659988,-14.399405,13.022778,38.036720,16.324055,9.831486,43.132790,-8.576728,-3.995411,5.357329,11.466779,4.043858,4.473693,-11.264717,6.051807,0.662978,14.704231,13.426220,0.302703,,0.280859,0.627240,0.187001,0.203126,0.487242,0.280922,0.383281,0.368257,0.338551,0.443585,0.766543,0.278010,0.488562,0.579615,0.234237,0.241962,0.975154,0.500952,0.428916,0.723477,0.126770,0.482299,1.035027,0.326501,0.512807,0.603585,0.346591,0.473410,1.812294,0.369502,0.464159,0.574651,0.156866,0.691367,2.148852,0.236032
0.500000,1.581267,1.641235,85.998703,-1.352947,-1.133835,88.236687,-16.211769,2.450146,129.111191,15.738467,-5.429073,127.306076,-16.401756,1.196583,74.843925,15.693658,-1.990078,78.570198,-14.321870,12.941639,37.940819,16.267632,9.865223,43.026924,-8.493315,-4.028374,5.226818,11.382697,4.017796,4.370983,-11.248965,6.002522,0.624947,14.660353,13.380947,0.312594,,0.284569,0.627755,0.184915,0.201328,0.485062,0.281881,0.388183,0.356602,0.342401,0.450957,0.754238,0.275690,0.487684,0.583055,0.231164,0.222942,0.985949,0.495108,0.429335,0.724598,0.124952,0.476193,1.036046,0.325159,0.510847,0.607380,0.337308,0.460569,1.792987,0.371947,0.459533,0.583556,0.148356,0.674674,2.123536,0.235529
1.000000,1.566317,1.603535,85.953957,-1.318522,-1.102825,88.175133,-16.274246,2.392635,129.063675,15.837466,-5.366928,127.224815,-16.409225,1.233910,74.784454,15.698119,-1.884388,78.480446,-14.244285,12.860180,37.844822,16.211430,9.899014,42.921257,-8.409847,-4.061966,5.096427,11.298516,3.990070,4.268716,-11.233185,5.952496,0.586972,14.616391,13.333927,0.322611,,0.289112,0.628415,0.183092,0.200261,0.483189,0.283147,0.397397,0.345726,0.346767,0.460946,0.743017,0.274431,0.491474,0.587299,0.228712,0.205939,0.997666,0.489565,0.433612,0.728124,0.125052,0.471940,1.038949,0.325033,0.511393,0.616418,0.328905,0.448590,1.775311,0.374801,0.458191,0.598443,0.143982,0.661312,2.099540,0.238733
1.500000,1.550685,1.565063,85.909081,-1.283758,-1.071438,88.113930,-16.338406,2.334461,129.016068,15.935819,-5.304356,127.143639,-16.416573,1.271069,74.724968,15.702428,-1.779423,78.391556,-14.165025,12.775249,37.748047,16.155674,9.934681,42.817043,-8.328761,-4.101669,4.967888,11.214832,3.959812,4.168185,-11.217472,5.895893,0.549542,14.573224,13.283871,0.333174,,0.294564,0.628726,0.181890,0.199962,0.481423,0.284405,0.408499,0.335098,0.351718,0.473360,0.733141,0.274319,0.500649,0.592075,0.227025,0.190996,1.009695,0.483870,0.440741,0.731065,0.127225,0.469576,1.044243,0.325288,0.511524,0.629371,0.320616,0.435803,1.759965,0.377106,0.458039,0.617628,0.142979,0.650887,2.076823,0.245773
2.000000,1.529821,1.521690,85.865944,-1.243421,-1.036041,88.053635,-16.413506,2.274044,128.970505,16.037642,-5.236553,127.059578,-16.418983,1.303501,74.665863,15.704972,-1.678463,78.309547,-14.076752,12.666866,37.647633,16.110926,9.985332,42.726089,-8.271592,-4.200291,4.866115,11.143807,3.888508,4.090134,-11.214131,5.776279,0.526228,14.534478,13.191051,0.347958,,0.301095,0.628414,0.181403,0.196404,0.478834,0.281052,0.411360,0.321489,0.356349,0.467607,0.725816,0.272817,0.511046,0.598055,0.226928,0.178363,1.012631,0.470955,0.445995,0.727249,0.127128,0.453352,1.062623,0.314908,0.494684,0.634783,0.301679,0.407974,1.752800,0.364323,0.445820,0.628110,0.134128,0.621491,2.056706,0.239896
2.500000,1.508948,1.478241,85.822861,-1.202971,-1.000599,87.993240,-16.488586,2.213779,128.925018,16.139538,-5.168545,126.975388,-16.421227,1.335876,74.606758,15.707394,-1.577515,78.227562,-13.988462,12.557835,37.547077,16.066616,10.035854,42.635162,-8.214726,-4.300102,4.764744,11.072971,3.815929,4.012306,-11.211230,5.655445,0.503325,14.495276,13.096973,0.362596,,0.308377,0.628308,0.181155,0.193298,0.476624,0.277843,0.416895,0.308709,0.361610,0.462951,0.719707,0.272167,0.524789,0.604970,0.227443,0.169095,1.016227,0.458624,0.455886,0.725026,0.128275,0.438697,1.081933,0.305704,0.480442,0.642500,0.283620,0.382087,1.747478,0.352477,0.435685,0.640508,0.130183,0.594460,2.038221,0.236170
3.000000,1.486553,1.433990,85.780426,-1.161465,-0.964390,87.933815,-16.566399,2.153225,128.880371,16.240189,-5.099766,126.891815,-16.424477,1.367416,74.549065,15.710565,-1.478924,78.147232,-13.898609,12.445515,37.447083,16.026119,10.091228,42.547722,-8.162336,-4.407372,4.667834,11.005210,3.740711,3.939362,-11.207824,5.527897,0.481163,14.458041,12.999615,0.377242,,0.316567,0.627874,0.181233,0.190367,0.474702,0.274352,0.421999,0.297289,0.367178,0.458931,0.715468,0.272569,0.542308,0.612637,0.227744,0.163421,1.019228,0.446143,0.467312,0.721461,0.130724,0.424773,1.103002,0.296563,0.467489,0.651654,0.266820,0.356550,1.743791,0.339537,0.426012,0.653823,0.129986,0.569947,2.020828,0.234743
3.500000,1.458525,1.387310,85.743782,-1.113920,-0.923290,87.877472,-16.650375,2.093273,128.840576,16.341587,-5.024887,126.809135,-16.427002,1.389053,74.497986,15.717508,-1.388092,78.075974,-13.809241,12.330585,37.355537,16.004105,10.167095,42.476154,-8.131599,-4.545181,4.597609,10.958638,3.643490,3.892982,-11.211199,5.371372,0.468471,14.430489,12.879772,0.391333,,0.325423,0.627171,0.181989,0.185331,0.472724,0.267025,0.417868,0.286421,0.372432,0.440879,0.712405,0.272266,0.556427,0.622516,0.229805,0.158785,1.015725,0.429127,0.474733,0.715348,0.131848,0.398579,1.128250,0.281608,0.446361,0.652913,0.242230,0.327959,1.746550,0.318123,0.409214,0.656474,0.126014,0.538479,2.008675,0.223773
4.000000,1.430256,1.340603,85.707405,-1.066353,-0.882061,87.820999,-16.733955,2.033726,128.800949,16.442753,-4.949631,126.726318,-16.429146,1.410221,74.447189,15.724239,-1.297340,78.004883,-13.720405,12.215282,37.264339,15.982780,10.242840,42.404797,-8.102180,-4.684265,4.528573,10.912763,3.544926,3.847013,-11.215700,5.213642,0.456586,14.402328,12.758686,0.404901,,0.335073,0.626775,0.183054,0.180522,0.471186,0.259959,0.415783,0.276869,0.378236,0.423526,0.710629,0.273125,0.572249,0.633300,0.232625,0.156845,1.012812,0.413455,0.486461,0.711611,0.135307,0.374636,1.153998,0.268968,0.428765,0.655266,0.218991,0.305328,1.750672,0.299177,0.393574,0.659497,0.126778,0.510772,1.997720,0.214297
4.500000,1.399616,1.293724,85.673531,-1.016785,-0.839943,87.765984,-16.819679,1.975269,128.764069,16.543655,-4.873474,126.644753,-16.435223,1.429253,74.400360,15.733274,-1.210258,77.935577,-13.633905,12.101009,37.177353,15.970132,10.324024,42.337784,-8.078327,-4.827217,4.466555,10.872835,3.445423,3.808017,-11.220336,5.054272,0.445719,14.377290,12.636303,0.417676,,0.345071,0.626407,0.183367,0.175740,0.470245,0.252636,0.414463,0.270437,0.383017,0.407829,0.710702,0.274920,0.588812,0.644657,0.233641,0.157264,1.009195,0.398362,0.496777,0.709798,0.140581,0.350463,1.180646,0.258155,0.417069,0.658561,0.199562,0.289713,1.755916,0.281460,0.380643,0.662455,0.129455,0.487589,1.988566,0.206457
