Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左股関節[x](cm),左股関節[y](cm),左股関節[z](cm),右股関節[x](cm),右股関節[y](cm),右股関節[z](cm),左膝関節[x](cm),左膝関節[y](cm),左膝関節[z](cm),右膝関節[x](cm),右膝関節[y](cm),右膝関節[z](cm),左足関節[x](cm),左足関節[y](cm),左足関節[z](cm),右足関節[x](cm),右足関節[y](cm),右足関節[z](cm),左第5MP[x](cm),左第5MP[y](cm),左第5MP[z](cm),右第5MP[x](cm),右第5MP[y](cm),右第5MP[z](cm),,SD_重心_LC[x](cm),SD_重心_LC[y](cm),SD_重心_LC[z](cm),SD_重心_RC[x](cm),SD_重心_RC[y](cm),SD_重心_RC[z](cm),SD_左肩峰[x](cm),SD_左肩峰[y](cm),SD_左肩峰[z](cm),SD_右肩峰[x](cm),SD_右肩峰[y](cm),SD_右肩峰[z](cm),SD_左股関節[x](cm),SD_左股関節[y](cm),SD_左股関節[z](cm),SD_右股関節[x](cm),SD_右股関節[y](cm),SD_右股関節[z](cm),SD_左膝関節[x](cm),SD_左膝関節[y](cm),SD_左膝関節[z](cm),SD_右膝関節[x](cm),SD_右膝関節[y](cm),SD_右膝関節[z](cm),SD_左足関節[x](cm),SD_左足関節[y](cm),SD_左足関節[z](cm),SD_右足関節[x](cm),SD_右足関節[y](cm),SD_右足関節[z](cm),SD_左第5MP[x](cm),SD_左第5MP[y](cm),SD_左第5MP[z](cm),SD_右第5MP[x](cm),SD_右第5MP[y](cm),SD_右第5MP[z](cm)
0.000000,3.056652,3.389496,93.067261,-2.516371,-3.223007,91.558510,-16.179337,5.549660,136.235931,16.686613,-5.023537,132.186447,-12.818068,1.105331,81.366188,13.594427,-2.596092,80.745758,-11.483374,13.155533,46.366104,12.745905,9.474388,45.425419,-10.709528,11.884346,9.958408,9.578722,16.411964,9.237179,-13.828625,24.029709,6.137203,13.428343,28.012848,6.152378,,0.338095,0.921574,0.123770,0.467088,0.834213,0.354230,0.507267,0.947697,0.320273,0.685535,0.829507,0.499940,0.418239,0.926123,0.285208,0.579958,1.767811,0.441039,0.324883,0.991475,0.235861,0.826893,1.919287,0.324341,0.439946,1.587376,0.167299,1.274831,2.701496,0.148243,0.680195,1.699587,0.366326,1.391449,2.856072,0.313753
0.500000,3.008558,3.332947,93.036453,-2.405356,-3.196869,91.447479,-16.256691,5.559364,136.219925,16.817356,-4.905571,132.059860,-12.880289,1.185532,81.314270,13.695173,-2.494232,80.622215,-11.392977,12.920677,46.194248,12.803034,9.419884,45.291866,-10.563856,11.734901,9.825668,9.575079,16.150772,9.093834,-13.651628,23.857719,5.878888,13.432503,27.712296,5.890249,,0.340417,0.909721,0.120022,0.457864,0.832257,0.359583,0.523436,0.937374,0.309218,0.699768,0.863904,0.510425,0.424410,0.909968,0.294010,0.581397,1.724760,0.450623,0.355660,1.012907,0.251434,0.844313,1.889417,0.345124,0.452747,1.584459,0.173600,1.270700,2.706172,0.152578,0.651898,1.701352,0.406159,1.354042,2.867656,0.297180
1.000000,2.956672,3.270477,93.007217,-2.287714,-3.160645,91.351120,-16.347067,5.567543,136.206406,16.946297,-4.773895,131.945282,-12.940544,1.276505,81.257401,13.803185,-2.407173,80.514320,-11.308825,12.667442,46.020432,12.904325,9.443298,45.209297,-10.435173,11.493362,9.699425,9.595776,15.912186,8.993815,-13.495323,23.580589,5.594498,13.446848,27.428070,5.648088,,0.342775,0.896011,0.114907,0.449608,0.833896,0.357360,0.533381,0.922599,0.298018,0.711631,0.893690,0.516616,0.427531,0.893012,0.302242,0.577502,1.672196,0.458675,0.381169,1.030763,0.261205,0.847256,1.901261,0.343313,0.477708,1.550797,0.178676,1.255891,2.719764,0.140673,0.627007,1.669051,0.437496,1.323979,2.886196,0.294460
1.500000,2.898987,3.205780,92.983444,-2.166469,-3.117340,91.266617,-16.446535,5.577065,136.198181,17.073400,-4.630905,131.839844,-12.996586,1.365433,81.200340,13.915014,-2.327148,80.418655,-11.238741,12.410347,45.858585,13.042925,9.519295,45.160721,-10.336260,11.204819,9.589327,9.630177,15.688705,8.921327,-13.363951,23.249649,5.308408,13.469997,27.153358,5.416239,,0.346604,0.881847,0.105167,0.439033,0.838065,0.354611,0.539109,0.905483,0.282754,0.718482,0.922799,0.522073,0.428650,0.877261,0.309004,0.564750,1.618880,0.467555,0.397421,1.046871,0.261120,0.854482,1.921432,0.336887,0.492199,1.510140,0.172283,1.237117,2.730325,0.124989,0.596327,1.630941,0.456355,1.299104,2.904449,0.293630
2.000000,2.837258,3.138031,92.965225,-2.043250,-3.065163,91.196640,-16.557398,5.583847,136.194992,17.196566,-4.477257,131.747726,-13.050749,1.457222,81.143875,14.036673,-2.255341,80.338226,-11.179317,12.146423,45.704765,13.222036,9.657211,45.145885,-10.261984,10.871918,9.488472,9.683643,15.482803,8.878834,-13.257982,22.867867,5.021359,13.503805,26.891068,5.195222,,0.352391,0.865145,0.095805,0.430077,0.844826,0.347368,0.540355,0.883055,0.268952,0.720739,0.948263,0.523282,0.428218,0.863601,0.313869,0.547837,1.561879,0.474571,0.408194,1.055032,0.255178,0.850535,1.950810,0.315588,0.515054,1.450948,0.165414,1.210943,2.737905,0.102078,0.578985,1.570133,0.467237,1.275982,2.916118,0.299542
2.500000,2.768479,3.070587,92.957001,-1.918765,-3.008148,91.136513,-16.678400,5.591774,136.199875,17.316954,-4.315659,131.664871,-13.105587,1.539673,81.094887,14.164946,-2.182907,80.267319,-11.140753,11.886932,45.571579,13.424292,9.814468,45.142796,-10.220045,10.526108,9.404466,9.746090,15.279999,8.847698,-13.179033,22.472595,4.757912,13.546110,26.629150,4.975578,,0.359463,0.848638,0.084257,0.419933,0.853254,0.338117,0.537417,0.860219,0.252962,0.717294,0.970798,0.522316,0.424868,0.850878,0.317525,0.528101,1.508748,0.478885,0.406811,1.059757,0.239252,0.852316,1.978439,0.291304,0.525627,1.389160,0.149748,1.181955,2.740524,0.083396,0.559534,1.503708,0.459562,1.251032,2.923685,0.308723
3.000000,2.694358,3.003174,92.959175,-1.796247,-2.945992,91.085930,-16.808834,5.598343,136.212418,17.436449,-4.146629,131.591766,-13.162342,1.614258,81.055740,14.305857,-2.106438,80.206451,-11.120615,11.627937,45.456661,13.644226,9.985092,45.142883,-10.199396,10.175171,9.332332,9.815660,15.080750,8.825006,-13.126667,22.072243,4.519854,13.595154,26.370102,4.758084,,0.369569,0.831736,0.076767,0.412724,0.863546,0.327559,0.534195,0.835733,0.239282,0.709886,0.991874,0.519756,0.422190,0.839581,0.316148,0.508929,1.461991,0.480464,0.405041,1.059551,0.215699,0.851843,1.997411,0.263414,0.537054,1.327031,0.133475,1.150688,2.740678,0.071709,0.547382,1.434489,0.442994,1.223350,2.926107,0.321043
3.500000,2.613415,2.937317,92.974037,-1.674510,-2.881516,91.042168,-16.946835,5.605110,136.234818,17.555653,-3.971588,131.526398,-13.224150,1.674652,81.029549,14.456039,-2.019783,80.152023,-11.125099,11.373573,45.365147,13.864397,10.132462,45.131729,-10.201080,9.834503,9.275346,9.885000,14.873520,8.798323,-13.100065,21.684525,4.317901,13.651642,26.103088,4.539751,,0.379221,0.815894,0.075026,0.404823,0.874331,0.314883,0.529413,0.813352,0.226021,0.700385,1.008563,0.514298,0.416815,0.829586,0.315574,0.493464,1.427459,0.477026,0.398313,1.055810,0.191934,0.857383,1.998178,0.240910,0.536372,1.275214,0.115775,1.121385,2.733179,0.070914,0.532435,1.373378,0.418040,1.189982,2.921623,0.333635
4.000000,2.525414,2.872253,93.003784,-1.554008,-2.815117,91.003723,-17.093018,5.610596,136.266998,17.678747,-3.790611,131.467361,-13.294512,1.718933,81.022522,14.617426,-1.920799,80.103828,-11.155302,11.115723,45.297588,14.074286,10.247849,45.103958,-10.213816,9.500259,9.230443,9.952072,14.656853,8.766222,-13.096256,21.308395,4.158184,13.710962,25.828812,4.324235,,0.390983,0.800959,0.082086,0.400159,0.886272,0.301852,0.528651,0.793296,0.214990,0.691019,1.024590,0.509818,0.413903,0.822212,0.309579,0.485327,1.403417,0.470846,0.397454,1.052149,0.160559,0.863262,1.989489,0.223081,0.530944,1.231910,0.097951,1.094350,2.727018,0.077636,0.515188,1.319437,0.376952,1.155833,2.917010,0.343193
4.500000,2.431767,2.808830,93.046448,-1.435103,-2.747940,90.969788,-17.243702,5.616302,136.309204,17.805672,-3.602364,131.414612,-13.371330,1.748032,81.031334,14.787786,-1.804390,80.059875,-11.210623,10.854012,45.250034,14.260937,10.302940,45.051224,-10.233051,9.182091,9.195832,10.007025,14.425125,8.720897,-13.112972,20.952110,4.031707,13.772030,25.542587,4.112522,,0.401161,0.788503,0.097312,0.396462,0.897852,0.287112,0.527801,0.778599,0.206613,0.684453,1.035733,0.501924,0.410808,0.811414,0.305482,0.484148,1.395216,0.459110,0.398341,1.046220,0.139040,0.869339,1.959025,0.216341,0.516930,1.201731,0.084005,1.074608,2.714779,0.081755,0.498250,1.279564,0.340663,1.119243,2.907745,0.348187
