Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左股関節[x](cm),左股関節[y](cm),左股関節[z](cm),右股関節[x](cm),右股関節[y](cm),右股関節[z](cm),左膝関節[x](cm),左膝関節[y](cm),左膝関節[z](cm),右膝関節[x](cm),右膝関節[y](cm),右膝関節[z](cm),左足関節[x](cm),左足関節[y](cm),左足関節[z](cm),右足関節[x](cm),右足関節[y](cm),右足関節[z](cm),左第5MP[x](cm),左第5MP[y](cm),左第5MP[z](cm),右第5MP[x](cm),右第5MP[y](cm),右第5MP[z](cm),,SD_重心_LC[x](cm),SD_重心_LC[y](cm),SD_重心_LC[z](cm),SD_重心_RC[x](cm),SD_重心_RC[y](cm),SD_重心_RC[z](cm),SD_左肩峰[x](cm),SD_左肩峰[y](cm),SD_左肩峰[z](cm),SD_右肩峰[x](cm),SD_右肩峰[y](cm),SD_右肩峰[z](cm),SD_左股関節[x](cm),SD_左股関節[y](cm),SD_左股関節[z](cm),SD_右股関節[x](cm),SD_右股関節[y](cm),SD_右股関節[z](cm),SD_左膝関節[x](cm),SD_左膝関節[y](cm),SD_左膝関節[z](cm),SD_右膝関節[x](cm),SD_右膝関節[y](cm),SD_右膝関節[z](cm),SD_左足関節[x](cm),SD_左足関節[y](cm),SD_左足関節[z](cm),SD_右足関節[x](cm),SD_右足関節[y](cm),SD_右足関節[z](cm),SD_左第5MP[x](cm),SD_左第5MP[y](cm),SD_左第5MP[z](cm),SD_右第5MP[x](cm),SD_右第5MP[y](cm),SD_右第5MP[z](cm)
0.000000,0.823685,-2.656139,97.313782,-2.505269,1.556095,97.333733,-13.613680,3.417675,137.822205,17.235905,4.263115,140.708435,-18.274429,-4.243744,90.230942,15.638722,1.907261,84.631622,-20.830788,0.192253,49.647915,12.419394,9.417603,47.059040,-23.551853,8.259960,10.754825,9.232521,11.685043,9.421973,-26.667561,22.465767,3.534570,13.907834,25.766464,4.550586,,0.335510,0.887149,0.205378,0.489549,1.056232,0.220007,0.561292,1.297322,0.588367,0.660825,0.875594,0.298476,0.485986,1.118257,0.285183,0.550840,1.468082,0.214519,0.461584,1.252703,0.278789,0.338216,2.253794,0.306637,0.634714,1.595439,0.089798,0.170456,2.520330,0.228048,0.875325,1.729590,0.289220,0.332321,2.552075,0.227097
0.500000,0.646742,-2.642300,97.188133,-2.359620,1.570278,97.225471,-13.879650,3.609470,137.695572,17.496281,4.473621,140.619934,-18.429996,-3.969498,89.983101,15.663463,2.232891,84.429527,-20.752480,-0.121822,49.328487,12.442370,8.990036,46.673595,-23.490841,7.892738,10.551541,9.187771,11.468773,9.124589,-26.511909,22.068748,3.191860,13.850200,25.529427,4.119453,,0.333493,0.881817,0.215150,0.475738,1.047522,0.210586,0.569779,1.297205,0.605170,0.652582,0.881104,0.292546,0.471538,1.101701,0.294175,0.506273,1.472717,0.190215,0.404353,1.274630,0.307139,0.375144,2.237751,0.254839,0.581296,1.641376,0.092272,0.162230,2.503751,0.196807,0.862626,1.790278,0.236933,0.349367,2.532062,0.206092
1.000000,0.469240,-2.627930,97.062645,-2.213661,1.584579,97.117470,-14.146216,3.801731,137.568436,17.757198,4.684540,140.531174,-18.586164,-3.696030,89.736336,15.688348,2.558640,84.227623,-20.676481,-0.432980,49.011066,12.466058,8.562950,46.289379,-23.431210,7.526600,10.351262,9.143216,11.252129,8.828285,-26.359638,21.672165,2.851721,13.793307,25.291412,3.688512,,0.332255,0.878071,0.227162,0.462497,1.039554,0.201866,0.592710,1.299486,0.624325,0.645938,0.888327,0.288174,0.457422,1.086621,0.306457,0.472925,1.479338,0.169511,0.353441,1.298703,0.339683,0.414425,2.223018,0.212538,0.533421,1.687687,0.107134,0.157520,2.487209,0.168739,0.851238,1.851939,0.187767,0.369929,2.511906,0.188038
1.500000,0.273781,-2.600025,96.946709,-2.051848,1.611790,97.044518,-14.434216,4.006912,137.440338,18.055630,4.927383,140.442429,-18.757259,-3.451546,89.526497,15.714908,2.866352,84.077492,-20.710011,-0.653877,48.767780,12.535131,8.208950,46.026558,-23.428345,7.191143,10.230782,9.118588,11.036812,8.625206,-26.323097,21.295898,2.588164,13.769811,25.020943,3.313615,,0.337903,0.873438,0.237261,0.445229,1.031408,0.190753,0.619579,1.300728,0.643148,0.647910,0.888258,0.289333,0.447151,1.073377,0.322932,0.458594,1.495622,0.145872,0.308607,1.298301,0.356991,0.424698,2.208177,0.185883,0.503757,1.710029,0.112793,0.164764,2.464490,0.130028,0.851941,1.881017,0.153642,0.368844,2.484917,0.159207
2.000000,0.077756,-2.571152,96.832024,-1.889492,1.639442,96.972916,-14.722436,4.212639,137.312469,18.355381,5.171436,140.353821,-18.929466,-3.209515,89.320427,15.741647,3.173164,83.929436,-20.750000,-0.868591,48.530296,12.605454,7.857525,45.767982,-23.427906,6.858044,10.115375,9.094730,10.821609,8.425434,-26.294903,20.920845,2.330733,13.747617,24.749733,2.941284,,0.344708,0.870887,0.248846,0.428560,1.023669,0.180087,0.655409,1.304138,0.663525,0.652352,0.889120,0.293430,0.437324,1.058279,0.342790,0.468428,1.514529,0.131232,0.279600,1.302336,0.377272,0.437150,2.192966,0.186413,0.480726,1.731555,0.121772,0.182318,2.441749,0.094470,0.855583,1.908737,0.126940,0.368528,2.458192,0.132254
2.500000,-0.128628,-2.527908,96.740227,-1.714824,1.680969,96.953484,-15.014144,4.425106,137.199081,18.677532,5.439476,140.290253,-19.117552,-3.016407,89.172409,15.788163,3.430237,83.855316,-20.896969,-0.982792,48.382305,12.722678,7.601791,45.646400,-23.463745,6.558659,10.062794,9.101705,10.610085,8.321958,-26.348354,20.574043,2.148592,13.764676,24.462334,2.674222,,0.356886,0.866705,0.254339,0.410017,1.020067,0.171745,0.670323,1.306548,0.677354,0.656262,0.884445,0.305666,0.436778,1.044660,0.358065,0.511053,1.539766,0.126876,0.258288,1.279308,0.375627,0.407029,2.189064,0.208003,0.476592,1.729581,0.120325,0.214762,2.424822,0.069870,0.859005,1.903845,0.113706,0.353270,2.438164,0.108811
3.000000,-0.335673,-2.482967,96.652023,-1.539129,1.723137,96.937675,-15.306904,4.638245,137.088211,19.000675,5.709202,140.228485,-19.307323,-2.828770,89.032478,15.836894,3.683361,83.786591,-21.054144,-1.087933,48.245506,12.841722,7.351742,45.533150,-23.503292,6.262566,10.016525,9.110421,10.397911,8.224473,-26.411556,20.230095,1.976019,13.784064,24.173782,2.414629,,0.370215,0.864700,0.260976,0.392240,1.016706,0.162737,0.686274,1.310412,0.691308,0.662195,0.879966,0.319376,0.436550,1.028388,0.376814,0.569507,1.570592,0.131383,0.256099,1.263173,0.377442,0.379050,2.181205,0.238407,0.477305,1.726377,0.122309,0.253242,2.408492,0.066629,0.863906,1.895899,0.110527,0.347000,2.418943,0.084061
3.500000,-0.543908,-2.423756,96.596428,-1.356342,1.775688,96.978638,-15.585003,4.853973,137.008011,19.327385,5.992046,140.210602,-19.510658,-2.691776,88.956543,15.916533,3.873531,83.794121,-21.278193,-1.124660,48.190422,12.990773,7.177639,45.532867,-23.558582,5.988052,10.006625,9.150336,10.173477,8.202812,-26.510712,19.907463,1.864964,13.835042,23.874130,2.276453,,0.384316,0.860640,0.259435,0.375469,1.019085,0.159260,0.671301,1.313374,0.694499,0.661435,0.871870,0.337942,0.442200,1.014980,0.382441,0.630114,1.598756,0.134810,0.248328,1.227242,0.359823,0.316145,2.189270,0.252772,0.494293,1.708235,0.118533,0.286602,2.401755,0.085466,0.859280,1.866791,0.105132,0.354867,2.411665,0.075444
4.000000,-0.752145,-2.361950,96.547562,-1.172474,1.828655,97.025482,-15.863155,5.070568,136.934509,19.652813,6.275692,140.197556,-19.715727,-2.562737,88.892258,16.000946,4.056549,83.809204,-21.509712,-1.154991,48.149811,13.140910,7.009853,45.542316,-23.618309,5.715256,10.001728,9.193254,9.945709,8.187634,-26.614059,19.587898,1.764149,13.888761,23.572037,2.150460,,0.398859,0.858493,0.259433,0.359489,1.022006,0.154167,0.654713,1.317188,0.696817,0.660058,0.864156,0.354391,0.447536,1.001264,0.390477,0.694126,1.635176,0.142027,0.260871,1.197580,0.346300,0.254455,2.192468,0.264242,0.516365,1.689639,0.117722,0.319667,2.397796,0.111725,0.853548,1.834865,0.110143,0.382980,2.406507,0.070609
4.500000,-0.953646,-2.287392,96.534714,-0.986514,1.885231,97.119904,-16.115620,5.288422,136.903427,19.965416,6.562683,140.233078,-19.928833,-2.469296,88.882355,16.116314,4.184769,83.882294,-21.751804,-1.174801,48.165798,13.295379,6.867218,45.614788,-23.677696,5.443893,10.007252,9.256627,9.684067,8.214138,-26.713352,19.274437,1.705588,13.957301,23.256760,2.127053,,0.409936,0.854473,0.251714,0.347199,1.029434,0.155935,0.619102,1.320341,0.688387,0.652348,0.856146,0.370578,0.453836,0.991415,0.381157,0.739109,1.660352,0.139325,0.275985,1.161506,0.322502,0.180587,2.207105,0.248302,0.551379,1.667954,0.116686,0.332170,2.399419,0.124716,0.837613,1.798394,0.106620,0.423477,2.410071,0.081102
5.000000,-1.153540,-2.209545,96.531273,-0.800170,1.941559,97.220901,-16.364674,5.507526,136.884109,20.273525,6.848747,140.276184,-20.142719,-2.383194,88.884239,16.236980,4.305454,83.961815,-21.990582,-1.199322,48.194424,13.448586,6.726265,45.693649,-23.740883,5.169540,10.014037,9.323193,9.415474,8.244309,-26.806637,18.961540,1.654622,14.027270,22.937492,2.116697,,0.420640,0.852039,0.246651,0.335789,1.037825,0.156363,0.584353,1.324260,0.679542,0.640331,0.849303,0.381477,0.461740,0.984368,0.371759,0.785107,1.693148,0.143126,0.316254,1.128347,0.303231,0.112163,2.220814,0.228513,0.592040,1.647520,0.119712,0.341355,2.406160,0.137574,0.819833,1.762017,0.114737,0.475530,2.417051,0.096690
5.500000,-1.342082,-2.121975,96.560280,-0.615078,1.993839,97.350166,-16.587780,5.728474,136.910263,20.560165,7.131596,140.356323,-20.356903,-2.309082,88.920380,16.378407,4.394405,84.067772,-22.192921,-1.270809,48.248390,13.583526,6.553314,45.781361,-23.793976,4.877773,10.013137,9.393718,9.098816,8.282146,-26.873234,18.639778,1.627492,14.094625,22.600594,2.166807,,0.426099,0.848732,0.236377,0.329559,1.047925,0.163049,0.549505,1.328152,0.663791,0.627565,0.846791,0.388867,0.468783,0.979247,0.347466,0.809766,1.711624,0.146698,0.366756,1.102828,0.284118,0.068852,2.234346,0.189873,0.638878,1.633576,0.130022,0.328717,2.410342,0.129752,0.799659,1.734965,0.117753,0.505465,2.424989,0.110668
