Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左股関節[x](cm),左股関節[y](cm),左股関節[z](cm),右股関節[x](cm),右股関節[y](cm),右股関節[z](cm),左膝関節[x](cm),左膝関節[y](cm),左膝関節[z](cm),右膝関節[x](cm),右膝関節[y](cm),右膝関節[z](cm),左足関節[x](cm),左足関節[y](cm),左足関節[z](cm),右足関節[x](cm),右足関節[y](cm),右足関節[z](cm),左第5MP[x](cm),左第5MP[y](cm),左第5MP[z](cm),右第5MP[x](cm),右第5MP[y](cm),右第5MP[z](cm),,SD_重心_LC[x](cm),SD_重心_LC[y](cm),SD_重心_LC[z](cm),SD_重心_RC[x](cm),SD_重心_RC[y](cm),SD_重心_RC[z](cm),SD_左肩峰[x](cm),SD_左肩峰[y](cm),SD_左肩峰[z](cm),SD_右肩峰[x](cm),SD_右肩峰[y](cm),SD_右肩峰[z](cm),SD_左股関節[x](cm),SD_左股関節[y](cm),SD_左股関節[z](cm),SD_右股関節[x](cm),SD_右股関節[y](cm),SD_右股関節[z](cm),SD_左膝関節[x](cm),SD_左膝関節[y](cm),SD_左膝関節[z](cm),SD_右膝関節[x](cm),SD_右膝関節[y](cm),SD_右膝関節[z](cm),SD_左足関節[x](cm),SD_左足関節[y](cm),SD_左足関節[z](cm),SD_右足関節[x](cm),SD_右足関節[y](cm),SD_右足関節[z](cm),SD_左第5MP[x](cm),SD_左第5MP[y](cm),SD_左第5MP[z](cm),SD_右第5MP[x](cm),SD_右第5MP[y](cm),SD_右第5MP[z](cm)
0.000000,1.909831,-0.945671,93.558128,-2.686286,1.247620,92.417908,-14.235823,-1.951302,134.930328,16.949554,2.597584,132.820526,-15.704561,-4.038536,85.110916,13.539787,-1.570713,81.017197,-16.908730,6.248627,49.474438,15.055092,13.473255,46.484764,-17.560349,13.043663,8.435146,9.719248,4.648830,7.939314,-24.198805,22.256630,2.321857,14.783817,12.646267,2.376467,,0.898974,1.233843,0.373462,0.552503,0.875805,0.109974,1.152906,1.649645,0.571693,0.851664,0.923646,0.256328,0.872262,1.549295,0.496374,0.491225,1.196967,0.185677,0.785486,1.593513,0.366641,0.635503,1.135194,0.433893,1.098626,1.697214,0.383372,0.752107,2.377718,0.786743,1.119915,1.817986,0.261447,0.565339,2.696316,0.442137
0.500000,1.834332,-0.945240,93.494560,-2.608410,1.263611,92.378151,-14.356504,-1.873417,134.855255,17.109871,2.677021,132.780731,-15.792128,-3.907604,85.019989,13.625570,-1.494629,80.980103,-16.908695,6.284374,49.357269,14.792423,13.453747,46.312160,-17.507925,13.018383,8.307558,9.589146,5.192913,7.563291,-24.119810,22.235268,2.223353,14.660067,13.262833,2.118613,,0.895792,1.238737,0.376866,0.545524,0.867358,0.108256,1.146515,1.647580,0.576260,0.842725,0.921253,0.256588,0.871308,1.560517,0.501824,0.479647,1.186251,0.179630,0.789103,1.599983,0.369401,0.661195,1.141880,0.411063,1.103886,1.683160,0.392170,0.745342,2.276468,0.703505,1.135931,1.812493,0.239534,0.565208,2.575353,0.381094
1.000000,1.758208,-0.944412,93.428543,-2.527522,1.278187,92.340416,-14.479099,-1.793278,134.778397,17.276339,2.760586,132.741623,-15.880926,-3.773136,84.924942,13.714010,-1.413692,80.942856,-16.903141,6.310398,49.232384,14.524193,13.432270,46.141487,-17.445818,12.973827,8.172292,9.461630,5.670406,7.216708,-24.044830,22.184685,2.131583,14.545099,13.801064,1.887952,,0.892356,1.243411,0.380671,0.539247,0.858740,0.106711,1.139968,1.645762,0.580807,0.834724,0.918480,0.257639,0.868174,1.571633,0.509130,0.468271,1.175622,0.175286,0.795209,1.604778,0.376286,0.689253,1.147305,0.389883,1.109609,1.672174,0.406909,0.740464,2.183902,0.621835,1.149409,1.808009,0.220603,0.565985,2.464497,0.324131
1.500000,1.679363,-0.942722,93.357498,-2.439299,1.289558,92.307022,-14.607372,-1.708233,134.697372,17.458012,2.853710,132.702881,-15.973625,-3.631069,84.821915,13.808332,-1.321861,80.904427,-16.885458,6.314789,49.091583,14.243847,13.408249,45.975159,-17.358892,12.887039,8.020630,9.344042,5.988052,6.939401,-23.978970,22.068916,2.055892,14.451595,14.154697,1.719951,,0.888567,1.247125,0.385890,0.534562,0.850255,0.104971,1.131929,1.643772,0.585822,0.827415,0.914817,0.259536,0.863118,1.582708,0.519469,0.457680,1.163828,0.171577,0.803462,1.607756,0.388249,0.712622,1.154444,0.367173,1.114108,1.659698,0.425166,0.733374,2.091526,0.538074,1.155417,1.795455,0.206295,0.569365,2.355639,0.272131
2.000000,1.600478,-0.941010,93.286301,-2.350147,1.300365,92.275192,-14.735674,-1.623062,134.616226,17.639778,2.947174,132.665817,-16.066526,-3.488857,84.718712,13.903181,-1.229370,80.867310,-16.867435,6.318630,48.950459,13.964520,13.384544,45.812008,-17.271606,12.799763,7.868852,9.230995,6.283226,6.671371,-23.913197,21.952400,1.980627,14.362963,14.483356,1.558686,,0.884954,1.250998,0.391639,0.530596,0.842136,0.104462,1.124367,1.642264,0.591391,0.820664,0.911881,0.260920,0.857958,1.594210,0.530628,0.448396,1.153284,0.168107,0.812968,1.611197,0.403504,0.737109,1.162318,0.344348,1.119791,1.651188,0.446448,0.726264,1.983423,0.445974,1.162178,1.786412,0.194784,0.571534,2.228865,0.216468
2.500000,1.519188,-0.937851,93.209900,-2.254652,1.308968,92.250839,-14.869658,-1.532806,134.530579,17.831440,3.048416,132.632462,-16.163452,-3.340137,84.607956,14.000940,-1.128613,80.834335,-16.836315,6.301098,48.795929,13.687719,13.364941,45.665211,-17.164370,12.683777,7.706138,9.131639,6.449207,6.466608,-23.855425,21.790977,1.924740,14.292204,14.664021,1.449981,,0.880345,1.254072,0.397512,0.527275,0.833173,0.103441,1.116074,1.641027,0.597265,0.815453,0.907789,0.264781,0.850063,1.605006,0.542324,0.439408,1.142333,0.165904,0.824261,1.611413,0.421565,0.761463,1.167843,0.321171,1.123647,1.645558,0.466623,0.720234,1.921886,0.370523,1.163250,1.776882,0.184099,0.572520,2.157631,0.184849
3.000000,1.435716,-0.933956,93.130875,-2.154031,1.315891,92.233368,-15.008053,-1.439697,134.442108,18.028418,3.155109,132.603271,-16.263042,-3.188248,84.493561,14.101246,-1.022427,80.806252,-16.798147,6.272343,48.634445,13.417583,13.349358,45.534073,-17.043495,12.551476,7.537584,9.050035,6.511292,6.310427,-23.801535,21.602554,1.880211,14.238594,14.728672,1.378576,,0.875763,1.256574,0.404613,0.526378,0.824379,0.105169,1.107745,1.640232,0.604167,0.812616,0.903654,0.268399,0.842542,1.616531,0.554682,0.432408,1.131088,0.164682,0.837032,1.610221,0.441877,0.777223,1.173433,0.301555,1.126095,1.638380,0.484199,0.714734,1.838021,0.290810,1.160937,1.762865,0.176186,0.576147,2.060803,0.153252
3.500000,1.351255,-0.929379,93.050735,-2.051777,1.322239,92.218208,-15.148060,-1.345036,134.352432,18.227566,3.263313,132.575363,-16.364485,-3.034721,84.378433,14.201603,-0.914833,80.780098,-16.756733,6.237499,48.471455,13.151985,13.334381,45.408619,-16.919569,12.416267,7.369103,8.972862,6.543575,6.168929,-23.748947,21.409309,1.841083,14.188768,14.760231,1.317412,,0.871243,1.259006,0.411852,0.525658,0.815786,0.108630,1.100474,1.639530,0.611801,0.810699,0.900308,0.273739,0.834722,1.627588,0.566466,0.426641,1.120924,0.163749,0.849568,1.609116,0.463707,0.793263,1.179831,0.281004,1.128679,1.636473,0.501379,0.709500,1.772529,0.223639,1.159027,1.753943,0.167633,0.577500,1.986324,0.140615
4.000000,1.262021,-0.922409,92.966507,-1.942328,1.326763,92.215935,-15.296383,-1.244194,134.257843,18.431074,3.378513,132.555969,-16.470682,-2.876984,84.259178,14.303164,-0.800137,80.765686,-16.703337,6.180012,48.300720,12.909222,13.325455,45.313187,-16.780439,12.263363,7.197556,8.923071,6.456017,6.091630,-23.702763,21.187935,1.822702,14.158772,14.659145,1.300906,,0.865500,1.260870,0.417938,0.526225,0.806228,0.112796,1.092301,1.639985,0.619171,0.812433,0.896879,0.280586,0.826414,1.638646,0.574551,0.421714,1.109834,0.165898,0.863072,1.603145,0.481058,0.803530,1.182992,0.265291,1.128347,1.631903,0.508801,0.703416,1.735392,0.169193,1.152052,1.740237,0.157703,0.576281,1.946235,0.135836
4.500000,1.171188,-0.914677,92.881500,-1.830367,1.330563,92.218742,-15.447906,-1.141396,134.161469,18.635708,3.496548,132.540100,-16.578463,-2.718452,84.140030,14.405117,-0.683479,80.756691,-16.647419,6.117092,48.129288,12.678194,13.316620,45.229813,-16.637033,12.106110,7.026396,8.884272,6.324139,6.035852,-23.657579,20.959099,1.810009,14.136276,14.509617,1.297538,,0.859889,1.262611,0.424335,0.528370,0.797084,0.120025,1.085206,1.641068,0.627190,0.816064,0.894688,0.286891,0.818772,1.649960,0.581411,0.418226,1.098862,0.170052,0.876587,1.596369,0.497499,0.806471,1.184181,0.258578,1.126413,1.627420,0.512096,0.703903,1.683168,0.124665,1.144752,1.726393,0.148191,0.579191,1.886147,0.130924
