165,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔
-- --(R),1.615,74.32,1.302,80.64,0.311,19.36,0.361,22.85,53.77,26.18,29.76
SD,0.06,,0.053,0.96,0.018,0.96,0.033,1.6,3.24,1.89,0.87
CV,3.737,,4.07,1.19,5.647,4.96,9.231,7,6.02,7.21,2.93
#NAME?,1.598,75.09,1.037,64.83,0.561,35.17,0.365,22.77,53.85,27.67,30.36
SD,0.077,,0.075,2.3,0.033,2.3,0.041,1.66,1.78,2.71,0.65
CV,4.828,,7.258,3.55,5.941,6.54,11.282,7.31,3.31,9.81,2.13
